fuente,archivo_relativo,nombre_archivo,columna,posicion_columna,tipo_inferido,filas_total,no_nulos,nulos,porcentaje_nulos,valores_unicos,porcentaje_cardinalidad,longitud_min_texto,longitud_max_texto,minimo_numerico,maximo_numerico,ejemplos_frecuentes,ejemplos_poco_frecuentes
fuente1,data/raw/fuente1/clean/populations.csv,populations.csv,2020,63,float64,266,265,1,0.3759,263,98.8722,7,12,11069.0,7821271846.0,"[{""valor"":""1882531620.0"",""frecuencia"":2},{""valor"":""1151302081.0"",""frecuencia"":2},{""valor"":""106585.0"",""frecuencia"":1},{""valor"":""685112979.0"",""frecuencia"":1},{""valor"":""38972230.0"",""frecuencia"":1}]","[{""valor"":""10093121.0"",""frecuencia"":1},{""valor"":""10121763.0"",""frecuencia"":1},{""valor"":""102180124.0"",""frecuencia"":1},{""valor"":""10297081.0"",""frecuencia"":1},{""valor"":""10353442.0"",""frecuencia"":1}]"
fuente1,data/raw/fuente1/clean/populations.csv,populations.csv,2021,64,float64,266,265,1,0.3759,263,98.8722,7,12,11204.0,7888963821.0,"[{""valor"":""1901911604.0"",""frecuencia"":2},{""valor"":""1181163013.0"",""frecuencia"":2},{""valor"":""106537.0"",""frecuencia"":1},{""valor"":""702977106.0"",""frecuencia"":1},{""valor"":""40099462.0"",""frecuencia"":1}]","[{""valor"":""1001870564.0"",""frecuencia"":1},{""valor"":""1011043183.0"",""frecuencia"":1},{""valor"":""10137750.0"",""frecuencia"":1},{""valor"":""101413157.0"",""frecuencia"":1},{""valor"":""10278345.0"",""frecuencia"":1}]"
fuente1,data/raw/fuente1/clean/populations.csv,populations.csv,2022,65,float64,266,265,1,0.3759,263,98.8722,7,12,11312.0,7951595433.0,"[{""valor"":""1919348000.0"",""frecuencia"":2},{""valor"":""1211190002.0"",""frecuencia"":2},{""valor"":""106445.0"",""frecuencia"":1},{""valor"":""720859132.0"",""frecuencia"":1},{""valor"":""41128771.0"",""frecuencia"":1}]","[{""valor"":""100108262.0"",""frecuencia"":1},{""valor"":""10141756.0"",""frecuencia"":1},{""valor"":""10142619.0"",""frecuencia"":1},{""valor"":""1019145355.0"",""frecuencia"":1},{""valor"":""1038012552.0"",""frecuencia"":1}]"
fuente1,data/raw/fuente1/clean/populations.csv,populations.csv,2023,66,float64,266,265,1,0.3759,263,98.8722,7,12,11396.0,8024997028.0,"[{""valor"":""1938549529.0"",""frecuencia"":2},{""valor"":""1241897817.0"",""frecuencia"":2},{""valor"":""106277.0"",""frecuencia"":1},{""valor"":""739108306.0"",""frecuencia"":1},{""valor"":""42239854.0"",""frecuencia"":1}]","[{""valor"":""100156608.0"",""frecuencia"":1},{""valor"":""10112555.0"",""frecuencia"":1},{""valor"":""10143543.0"",""frecuencia"":1},{""valor"":""102262808.0"",""frecuencia"":1},{""valor"":""10329931.0"",""frecuencia"":1}]"
fuente1,data/raw/fuente1/clean/results.csv,results.csv,year,1,float64,308408,305807,2601,0.8434,37,0.012,6,6,1896.0,2022.0,"[{""valor"":""2020.0"",""frecuencia"":17939},{""valor"":""1992.0"",""frecuencia"":16632},{""valor"":""1988.0"",""frecuencia"":15177},{""valor"":""2016.0"",""frecuencia"":14026},{""valor"":""2000.0"",""frecuencia"":13907}]","[{""valor"":""1896.0"",""frecuencia"":562},{""valor"":""1904.0"",""frecuencia"":1895},{""valor"":""1900.0"",""frecuencia"":2395},{""valor"":""1932.0"",""frecuencia"":2655},{""valor"":""1994.0"",""frecuencia"":3205}]"
fuente1,data/raw/fuente1/clean/results.csv,results.csv,type,2,str,308408,305807,2601,0.8434,2,0.0006,6,6,,,"[{""valor"":""Summer"",""frecuencia"":241298},{""valor"":""Winter"",""frecuencia"":64509}]","[{""valor"":""Winter"",""frecuencia"":64509},{""valor"":""Summer"",""frecuencia"":241298}]"
fuente1,data/raw/fuente1/clean/results.csv,results.csv,discipline,3,str,308408,308407,1,0.0003,93,0.0302,4,35,,,"[{""valor"":""Athletics"",""frecuencia"":45916},{""valor"":""Artistic Gymnastics (Gymnastics)"",""frecuencia"":27721},{""valor"":""Swimming (Aquatics)"",""frecuencia"":26526},{""valor"":""Fencing"",""frecuencia"":12156},{""valor"":""Shooting"",""frecuencia"":12029}]","[{""valor"":""Australian Rules Football"",""frecuencia"":1},{""valor"":""Bandy"",""frecuencia"":1},{""valor"":""Bicycle Polo (Cycling)"",""frecuencia"":1},{""valor"":""Glíma"",""frecuencia"":1},{""valor"":""Roller Skating (Roller Sports)"",""frecuencia"":1}]"
fuente1,data/raw/fuente1/clean/results.csv,results.csv,event,4,str,308408,308408,0,0.0,1191,0.3862,4,157,,,"[{""valor"":""Football, Men (Olympic)"",""frecuencia"":6135},{""valor"":""Ice Hockey, Men (Olympic)"",""frecuencia"":5345},{""valor"":""Hockey, Men (Olympic)"",""frecuencia"":4271},{""valor"":""Individual, Men (Olympic)"",""frecuencia"":3830},{""valor"":""Water Polo, Men (Olympic)"",""frecuencia"":3585}]","[{""valor"":""1 mile, Team, Handicap, Men (Olympic (non-medal))"",""frecuencia"":1},{""valor"":""100 metres, Professionals, Handicap, Men (Olympic (non-medal))"",""frecuencia"":1},{""valor"":""100 metres, Professionals, Men (Olympic (non-medal))"",""frecuencia"":1},{""valor"":""110 metres Hurdles, Professionals, Men (Olympic (non-medal))"",""frecuencia"":1},{""valor"":""120 yards Hurdles, Boys (Olympic (non-medal))"",""frecuencia"":1}]"
fuente1,data/raw/fuente1/clean/results.csv,results.csv,as,5,str,308408,308408,0,0.0,144005,46.693,2,49,,,"[{""valor"":""Heikki Savolainen"",""frecuencia"":39},{""valor"":""Josy Stoffel"",""frecuencia"":38},{""valor"":""Ioannis Theofilakis"",""frecuencia"":37},{""valor"":""Eric Lemming"",""frecuencia"":34},{""valor"":""Takashi Ono"",""frecuencia"":33}]","[{""valor"":""A Lamusi"",""frecuencia"":1},{""valor"":""A'ja Wilson"",""frecuencia"":1},{""valor"":""A. Adam"",""frecuencia"":1},{""valor"":""A. Albert"",""frecuencia"":1},{""valor"":""A. C. Gilbert"",""frecuencia"":1}]"
fuente1,data/raw/fuente1/clean/results.csv,results.csv,athlete_id,6,int64,308408,308408,0,0.0,145262,47.1006,1,6,1,148986,"[{""valor"":""29833"",""frecuencia"":39},{""valor"":""30697"",""frecuencia"":38},{""valor"":""42673"",""frecuencia"":37},{""valor"":""76253"",""frecuencia"":34},{""valor"":""42672"",""frecuencia"":33}]","[{""valor"":""10001"",""frecuencia"":1},{""valor"":""100024"",""frecuencia"":1},{""valor"":""100027"",""frecuencia"":1},{""valor"":""10005"",""frecuencia"":1},{""valor"":""100051"",""frecuencia"":1}]"
fuente1,data/raw/fuente1/clean/results.csv,results.csv,noc,7,str,308408,308407,1,0.0003,230,0.0746,3,3,,,"[{""valor"":""USA"",""frecuencia"":21353},{""valor"":""FRA"",""frecuencia"":14276},{""valor"":""GBR"",""frecuencia"":13170},{""valor"":""ITA"",""frecuencia"":12129},{""valor"":""CAN"",""frecuencia"":11455}]","[{""valor"":""NBO"",""frecuencia"":3},{""valor"":""SSD"",""frecuencia"":5},{""valor"":""YMD"",""frecuencia"":5},{""valor"":""TUV"",""frecuencia"":9},{""valor"":""YAR"",""frecuencia"":12}]"
fuente1,data/raw/fuente1/clean/results.csv,results.csv,team,8,str,308408,121714,186694,60.5347,19413,6.2946,1,56,,,"[{""valor"":""United States"",""frecuencia"":6149},{""valor"":""Italy"",""frecuencia"":4065},{""valor"":""France"",""frecuencia"":3911},{""valor"":""Great Britain"",""frecuencia"":3634},{""valor"":""Canada"",""frecuencia"":3607}]","[{""valor"":""'t Soulaiky"",""frecuencia"":1},{""valor"":""'t Soulaiky / Belgium"",""frecuencia"":1},{""valor"":""3 Magic Beans / United States"",""frecuencia"":1},{""valor"":""5000"",""frecuencia"":1},{""valor"":""A Little Bit"",""frecuencia"":1}]"
fuente1,data/raw/fuente1/clean/results.csv,results.csv,place,9,float64,308408,283193,25215,8.1759,185,0.06,3,5,1.0,185.0,"[{""valor"":""5.0"",""frecuencia"":21693},{""valor"":""3.0"",""frecuencia"":18503},{""valor"":""4.0"",""frecuencia"":17774},{""valor"":""2.0"",""frecuencia"":17718},{""valor"":""1.0"",""frecuencia"":16719}]","[{""valor"":""138.0"",""frecuencia"":5},{""valor"":""139.0"",""frecuencia"":5},{""valor"":""141.0"",""frecuencia"":5},{""valor"":""143.0"",""frecuencia"":5},{""valor"":""149.0"",""frecuencia"":5}]"
fuente1,data/raw/fuente1/clean/results.csv,results.csv,tied,10,bool,308408,308408,0,0.0,2,0.0006,4,5,False,True,"[{""valor"":""False"",""frecuencia"":262468},{""valor"":""True"",""frecuencia"":45940}]","[{""valor"":""True"",""frecuencia"":45940},{""valor"":""False"",""frecuencia"":262468}]"
fuente1,data/raw/fuente1/clean/results.csv,results.csv,medal,11,str,308408,44139,264269,85.6881,3,0.001,4,6,,,"[{""valor"":""Bronze"",""frecuencia"":14810},{""valor"":""Gold"",""frecuencia"":14783},{""valor"":""Silver"",""frecuencia"":14546}]","[{""valor"":""Silver"",""frecuencia"":14546},{""valor"":""Gold"",""frecuencia"":14783},{""valor"":""Bronze"",""frecuencia"":14810}]"
fuente1,data/raw/fuente1/raw/bios.csv,bios.csv,Roles,1,str,145500,145500,0,0.0,70,0.0481,1,119,,,"[{""valor"":""Competed in Olympic Games"",""frecuencia"":134613},{""valor"":""Competed in Olympic Games • Other"",""frecuencia"":3814},{""valor"":""Competed in Youth Olympic Games"",""frecuencia"":1679},{""valor"":""Competed in Olympic Games • Non-starter"",""frecuencia"":1540},{""valor"":""Competed in Olympic Games • Competed in Youth Olympic Games"",""frecuencia"":826}]","[{""valor"":""Competed in Intercalated Games • Non-starter • Administrator"",""frecuencia"":1},{""valor"":""Competed in Intercalated Games • Other"",""frecuencia"":1},{""valor"":""Competed in Intercalated Games • Other • Administrator"",""frecuencia"":1},{""valor"":""Competed in Olympic Games • Coach • Administrator"",""frecuencia"":1},{""valor"":""Competed in Olympic Games • Coach • Referee • Administrator"",""frecuencia"":1}]"
fuente1,data/raw/fuente1/raw/bios.csv,bios.csv,Sex,2,str,145500,145500,0,0.0,2,0.0014,4,6,,,"[{""valor"":""Male"",""frecuencia"":106325},{""valor"":""Female"",""frecuencia"":39175}]","[{""valor"":""Female"",""frecuencia"":39175},{""valor"":""Male"",""frecuencia"":106325}]"
fuente1,data/raw/fuente1/raw/bios.csv,bios.csv,Full name,3,str,145500,145500,0,0.0,144663,99.4247,3,108,,,"[{""valor"":""Wang•Nan"",""frecuencia"":6},{""valor"":""Wang•Ying"",""frecuencia"":5},{""valor"":""Kim•Seong-Eun"",""frecuencia"":5},{""valor"":""László•Szabó"",""frecuencia"":5},{""valor"":""Wolfgang•Müller"",""frecuencia"":5}]","[{""valor"":""A'ja Riyadh•Wilson"",""frecuencia"":1},{""valor"":""A. Aanantha Sambu•Mayavo"",""frecuencia"":1},{""valor"":""A. Charles•Six"",""frecuencia"":1},{""valor"":""A. E.•Page"",""frecuencia"":1},{""valor"":""A. Enrique•Guedes Hernández"",""frecuencia"":1}]"
fuente1,data/raw/fuente1/raw/bios.csv,bios.csv,Used name,4,str,145500,145500,0,0.0,142780,98.1306,3,49,,,"[{""valor"":""Ivan•Ivanov"",""frecuencia"":13},{""valor"":""José•González"",""frecuencia"":9},{""valor"":""Luis•López"",""frecuencia"":9},{""valor"":""José•Pérez"",""frecuencia"":8},{""valor"":""Luis•González"",""frecuencia"":7}]","[{""valor"":""A J•Kitt"",""frecuencia"":1},{""valor"":""A'ja•Wilson"",""frecuencia"":1},{""valor"":""A. C.•Gilbert"",""frecuencia"":1},{""valor"":""A. D.•Franch"",""frecuencia"":1},{""valor"":""A. E.•Page"",""frecuencia"":1}]"
fuente1,data/raw/fuente1/raw/bios.csv,bios.csv,Born,5,str,145500,143772,1728,1.1876,135475,93.11,4,98,,,"[{""valor"":""1931"",""frecuencia"":30},{""valor"":""1898"",""frecuencia"":29},{""valor"":""1903"",""frecuencia"":27},{""valor"":""1902"",""frecuencia"":24},{""valor"":""1900"",""frecuencia"":24}]","[{""valor"":""(1926 or 1927)"",""frecuencia"":1},{""valor"":""(c. 1915)"",""frecuencia"":1},{""valor"":""(c. 1929)"",""frecuencia"":1},{""valor"":""(circa 1897)"",""frecuencia"":1},{""valor"":""(circa 1902)"",""frecuencia"":1}]"
fuente1,data/raw/fuente1/raw/bios.csv,bios.csv,Died,6,str,145500,34042,111458,76.6034,32654,22.4426,4,97,,,"[{""valor"":""(Deceased, details unknown)"",""frecuencia"":42},{""valor"":""1996"",""frecuencia"":21},{""valor"":""2008"",""frecuencia"":20},{""valor"":""2002"",""frecuencia"":19},{""valor"":""1990"",""frecuencia"":19}]","[{""valor"":""(Around 1937)"",""frecuencia"":1},{""valor"":""(Around 1997)"",""frecuencia"":1},{""valor"":""(Around 2006)"",""frecuencia"":1},{""valor"":""(Around 2009)"",""frecuencia"":1},{""valor"":""(At the age of 62)"",""frecuencia"":1}]"
fuente1,data/raw/fuente1/raw/bios.csv,bios.csv,NOC,7,str,145500,145499,1,0.0007,696,0.4784,3,75,,,"[{""valor"":""United States"",""frecuencia"":10114},{""valor"":""Great Britain"",""frecuencia"":6421},{""valor"":""France"",""frecuencia"":6339},{""valor"":""Canada"",""frecuencia"":5276},{""valor"":""Italy"",""frecuencia"":5189}]","[{""valor"":""Albania Australia"",""frecuencia"":1},{""valor"":""Albania Bulgaria"",""frecuencia"":1},{""valor"":""Albania Greece"",""frecuencia"":1},{""valor"":""Albania Kosovo"",""frecuencia"":1},{""valor"":""Albania United States"",""frecuencia"":1}]"
fuente1,data/raw/fuente1/raw/bios.csv,bios.csv,athlete_id,8,int64,145500,145500,0,0.0,145500,100.0,1,6,1,149814,"[{""valor"":""1"",""frecuencia"":1},{""valor"":""2"",""frecuencia"":1},{""valor"":""3"",""frecuencia"":1},{""valor"":""4"",""frecuencia"":1},{""valor"":""5"",""frecuencia"":1}]","[{""valor"":""1"",""frecuencia"":1},{""valor"":""10"",""frecuencia"":1},{""valor"":""100"",""frecuencia"":1},{""valor"":""1000"",""frecuencia"":1},{""valor"":""10000"",""frecuencia"":1}]"
