id_secundario,nombre_secundario,id_canonico,nombre_canonico,norm_name,sexo,nocs,part_secundario,part_canonico
223431,Edrick Floral,223430,Edrick Floral,edrick floral,male,38,1,1
223437,Danilo Florencio,223436,Danilo Florencio,danilo florencio,male,163,1,1
223446,Daniel Prez,223445,Daniel Prez,daniel prez,male,226,1,1
223451,Galdino Valles,223450,Galdino Valles,galdino valles,male,135,1,1
223456,Jess Alba,223455,Jess Alba,jess alba,male,135,1,1
223467,Mario Hernndez,223466,Mario Hernndez,mario hernndez,male,135,1,1
223469,Raymond Flores,223468,Raymond Flores,raymond flores,male,89,1,1
223470,Raymond Flores,223468,Raymond Flores,raymond flores,male,89,1,1
223472,Rodolfo Garca,223471,Rodolfo Garca,rodolfo garca,male,135,1,1
223475,Mara Flores-wurmser,223474,Mara Flores-wurmser,mara flores-wurmser,female,,0,0
223476,Mara Flores-wurmser,223474,Mara Flores-wurmser,mara flores-wurmser,female,,0,0
223477,Mara Flores-wurmser,223474,Mara Flores-wurmser,mara flores-wurmser,female,,0,0
223478,Mara Flores-wurmser,223474,Mara Flores-wurmser,mara flores-wurmser,female,,0,0
223491,Jimena Juarez,223490,Jimena Juarez,jimena juarez,female,10,1,1
223500,Micheline (-julitte),223499,Micheline (-julitte),micheline (-julitte),female,73,1,1
223501,Micheline (-julitte),223499,Micheline (-julitte),micheline (-julitte),female,73,1,1
223504,Connie (schiller-),223503,Connie (schiller-),connie (schiller-),female,223,1,1
223512,Daniel Flynn,223511,Daniel Flynn,daniel flynn,male,78,1,1
223513,Daniel Flynn,223511,Daniel Flynn,daniel flynn,male,78,1,1
223514,Daniel Flynn,223511,Daniel Flynn,daniel flynn,male,78,1,1
223520,Patrick Flynn,223519,Patrick Flynn,patrick flynn,male,223,1,1
223521,Patrick Flynn,223519,Patrick Flynn,patrick flynn,male,223,1,1
223523,Raymond Flynn,223522,Raymond Flynn,raymond flynn,male,99,1,1
223551,Nabie Fofanah,223550,Nabie Fofanah,nabie fofanah,male,88,1,1
223552,Nabie Fofanah,223550,Nabie Fofanah,nabie fofanah,male,88,1,1
223558,Hlia Pinto,223557,Hlia Pinto,hlia pinto,female,31,1,1
223559,Hlia Pinto,223557,Hlia Pinto,hlia pinto,female,31,1,1
223560,Hlia Pinto,223557,Hlia Pinto,hlia pinto,female,31,1,1
223561,Hlia Pinto,223557,Hlia Pinto,hlia pinto,female,31,1,1
223579,Laura (-rossetti),223578,Laura (-rossetti),laura (-rossetti),female,104,1,1
223581,Alejandro Costa,223580,Alejandro Costa,alejandro costa,male,222,1,1
223582,Alejandro Costa,223580,Alejandro Costa,alejandro costa,male,222,1,1
223583,Alejandro Costa,223580,Alejandro Costa,alejandro costa,male,222,1,1
223598,Fok Shan,223597,Fok Shan,fok shan,male,92,1,1
223619,Annemieke (-wilbrenninck),223618,Annemieke (-wilbrenninck),annemieke (-wilbrenninck),female,150,1,1
223622,Johan Fokker,223621,Johan Fokker,johan fokker,male,150,1,1
