id_evento_secundario,nombre_secundario,id_evento_canonico,nombre_canonico,deporte,disciplina,part_secundario,part_canonico
2146,Alpine Skiing Women's Giant Slalom,1230,"Giant Slalom, Women (Olympic)",Skiing,Alpine Skiing,961,1139
2293,Cross Country Skiing Women's 30 kilometres,1231,"30 kilometres, Women (Olympic)",Skiing,Cross Country Skiing,394,506
2365,Cross Country Skiing Women's 5/10 kilometres Pursuit,1232,"5/10 kilometres Pursuit, Women (Olympic)",Skiing,Cross Country Skiing,182,200
2366,Cross Country Skiing Women's 4 x 5 kilometres Relay,1233,"4 × 5 kilometres Relay, Women (Olympic)",Skiing,Cross Country Skiing,576,693
2367,Cross Country Skiing Women's 15 kilometres,1234,"15 kilometres, Women (Olympic)",Skiing,Cross Country Skiing,232,236
2368,Cross Country Skiing Women's 5/5 kilometres Pursuit,1235,"5/5 kilometres Pursuit, Women (Olympic)",Skiing,Cross Country Skiing,73,73
1905,"Speed Skating Women's 1,000 metres",1236,"1,000 metres, Women (Olympic)",Skating,Speed Skating,497,821
2523,"Short Track Speed Skating Women's 1,000 metres",1236,"1,000 metres, Women (Olympic)",Skating,Speed Skating,180,821
2392,"Short Track Speed Skating Women's 3,000 metres Relay",1237,"3,000 metres Relay, Women (Olympic)",Skating,Short Track Speed Skating,237,343
2287,Figure Skating Mixed Ice Dancing,1240,"Ice Dancing, Mixed (Olympic)",Skating,Figure Skating,456,548
1904,Speed Skating Women's 500 metres,1241,"500 metres, Women (Olympic)",Skating,Speed Skating,467,817
2516,Short Track Speed Skating Women's 500 metres,1241,"500 metres, Women (Olympic)",Skating,Speed Skating,209,817
2147,Alpine Skiing Women's Super G,1242,"Super G, Women (Olympic)",Skiing,Alpine Skiing,402,491
2198,Alpine Skiing Women's Combined,1243,"Combined, Women (Olympic)",Skiing,Alpine Skiing,361,420
1958,"Speed Skating Men's 5,000 metres",1244,"5,000 metres, Men (Olympic)",Skating,Speed Skating,730,787
2393,Freestyle Skiing Women's Moguls,1251,"Moguls, Women (Olympic)",Skiing,Freestyle Skiing,190,253
2327,Freestyle Skiing Women's Aerials,1256,"Aerials, Women (Olympic)",Skiing,Freestyle Skiing,135,195
2418,Cross Country Skiing Women's Sprint,1261,"Sprint, Women (Olympic)",Skiing,Cross Country Skiing,245,391
2526,Freestyle Skiing Women's Ski Cross,1263,"Ski Cross, Women (Olympic)",Skiing,Freestyle Skiing,63,110
2451,Cross Country Skiing Women's Team Sprint,1268,"Team Sprint, Women (Olympic)",Skiing,Cross Country Skiing,100,192
2025,Figure Skating Men's Singles,1272,"Singles, Men (Olympic)",Skating,Figure Skating,517,572
1932,Alpine Skiing Men's Giant Slalom,1276,"Giant Slalom, Men (Olympic)",Skiing,Alpine Skiing,1534,1768
1933,Alpine Skiing Men's Slalom,1277,"Slalom, Men (Olympic)",Skiing,Alpine Skiing,1592,1815
1938,Speed Skating Men's 500 metres,1278,"500 metres, Men (Olympic)",Skating,Speed Skating,842,1179
2394,Short Track Speed Skating Men's 500 metres,1278,"500 metres, Men (Olympic)",Skating,Speed Skating,184,1179
2169,"Speed Skating Men's 1,000 metres",1279,"1,000 metres, Men (Olympic)",Skating,Speed Skating,450,805
2405,"Short Track Speed Skating Men's 1,000 metres",1279,"1,000 metres, Men (Olympic)",Skating,Speed Skating,211,805
1930,Alpine Skiing Men's Downhill,1280,"Downhill, Men (Olympic)",Skiing,Alpine Skiing,1164,1282
1931,Alpine Skiing Men's Super G,1281,"Super G, Men (Olympic)",Skiing,Alpine Skiing,569,685
1939,"Speed Skating Men's 1,500 metres",1283,"1,500 metres, Men (Olympic)",Skating,Speed Skating,885,1177
2406,"Short Track Speed Skating Men's 1,500 metres",1283,"1,500 metres, Men (Olympic)",Skating,Speed Skating,131,1177
2335,"Short Track Speed Skating Men's 5,000 metres Relay",1291,"5,000 metres Relay, Men (Olympic)",Skating,Short Track Speed Skating,247,354
1906,Cross Country Skiing Men's 10 kilometres,1292,"10 kilometres, Men (Olympic)",Skiing,Cross Country Skiing,294,294
1908,Cross Country Skiing Men's 10/15 kilometres Pursuit,1293,"10/15 kilometres Pursuit, Men (Olympic)",Skiing,Cross Country Skiing,251,283
2127,Freestyle Skiing Men's Moguls,1296,"Moguls, Men (Olympic)",Skiing,Freestyle Skiing,233,294
2403,Cross Country Skiing Men's 10/10 kilometres Pursuit,1298,"10/10 kilometres Pursuit, Men (Olympic)",Skiing,Cross Country Skiing,83,84
1959,"Speed Skating Men's 10,000 metres",1306,"10,000 metres, Men (Olympic)",Skating,Speed Skating,510,551
2569,Speed Skating Men's Allround,1307,"Allround, Men (Olympic)",Skating,Speed Skating,23,21
2166,Cross Country Skiing Men's Sprint,1308,"Sprint, Men (Olympic)",Skiing,Cross Country Skiing,299,561
2413,Cross Country Skiing Men's Team Sprint,1310,"Team Sprint, Men (Olympic)",Skiing,Cross Country Skiing,136,241
2143,Freestyle Skiing Men's Aerials,1315,"Aerials, Men (Olympic)",Skiing,Freestyle Skiing,147,212
2465,Speed Skating Men's Team Pursuit (8 laps),1338,"Team Pursuit (8 laps), Men (Olympic)",Skating,Speed Skating,92,160
2625,Figure Skating Men's Special Figures,1340,"Special Figures, Men (Olympic)",Skating,Figure Skating,3,5
2580,"Art Competitions Mixed Sculpturing, Medals",1374,"Sculpturing, Medals, Open (Olympic)",Art Competitions,Art Competitions,24,1
1980,Taekwondo Women's Flyweight,1395,"Flyweight, Women (Olympic)",Taekwondo,Taekwondo,1,139
2527,Freestyle Skiing Men's Ski Cross,1423,"Ski Cross, Men (Olympic)",Skiing,Freestyle Skiing,64,124
2550,Freestyle Skiing Men's Halfpipe,1437,"Halfpipe, Men (Olympic)",Skiing,Snowboard,28,321
2279,Freestyle Skiing Women's Halfpipe,1438,"Halfpipe, Women (Olympic)",Skiing,Snowboard,23,250
2652,Sailing Mixed 18 foot,1446,"18 foot, Open (Olympic)",Sailing,Sailing,2,2
2512,Freestyle Skiing Women's Slopestyle,1447,"Slopestyle, Women (Olympic)",Skiing,Snowboard,22,146
2029,Figure Skating Mixed Team,1449,"Team, Mixed (Olympic)",Skating,Figure Skating,74,265
2252,Freestyle Skiing Men's Slopestyle,1481,"Slopestyle, Men (Olympic)",Skiing,Snowboard,32,180
1768,"Hockey 5s, Boys (YOG)",1575,"Hockey, Boys (YOG)",Hockey,Hockey,1,3
1700,"Hockey 5s, Girls (YOG)",1615,"Hockey, Girls (YOG)",Hockey,Hockey,3,5
1852,"3-on-3 Ice Hockey, Girls (YOG)",1684,"Ice Hockey, Girls (YOG)",Ice Hockey,Ice Hockey,104,107
3059,Women,1690,"Rugby Sevens, Women (Olympic)",Rugby,Rugby Sevens,158,376
1853,"Ice Hockey, Boys (YOG)",1851,"3-on-3 Ice Hockey, Boys (YOG)",Ice Hockey,3-on-3 Ice Hockey,102,104
