id_evento_secundario,nombre_secundario,id_evento_canonico,nombre_canonico,deporte,disciplina,part_secundario,part_canonico
1383,"Team, Men (Olympic)",1273,"Team, Men (Olympic)",Skiing,Nordic Combined,1,385
2104,Nordic Combined Men's Team,1273,"Team, Men (Olympic)",Skiing,Nordic Combined,301,385
2124,Biathlon Men's 10 kilometres Sprint,1274,"10 kilometres Sprint, Men (Olympic)",Biathlon,Biathlon,773,943
2126,Biathlon Men's 4 x 7.5 kilometres Relay,1275,"4 × 7.5 kilometres Relay, Men (Olympic)",Biathlon,Biathlon,884,1027
1432,"Giant Slalom, Men (Olympic)",1276,"Giant Slalom, Men (Olympic)",Skiing,Alpine Skiing,34,1734
1286,"500 metres, Men (Olympic (non-medal))",1278,"500 metres, Men (Olympic)",Skating,Speed Skating,19,916
1324,"500 metres, Men (Olympic)",1278,"500 metres, Men (Olympic)",Skating,Speed Skating,244,916
1287,"1,000 metres, Men (Olympic (non-medal))",1279,"1,000 metres, Men (Olympic)",Skating,Speed Skating,19,518
1325,"1,000 metres, Men (Olympic)",1279,"1,000 metres, Men (Olympic)",Skating,Speed Skating,268,518
1288,"1,500 metres, Men (Olympic (non-medal))",1283,"1,500 metres, Men (Olympic)",Skating,Speed Skating,19,960
1339,"1,500 metres, Men (Olympic)",1283,"1,500 metres, Men (Olympic)",Skating,Speed Skating,198,960
1349,"Normal Hill, Individual, Men (Olympic)",1284,"Normal Hill, Individual, Men (Olympic)",Skiing,Ski Jumping,6,913
2200,"Ski Jumping Men's Normal Hill, Individual",1284,"Normal Hill, Individual, Men (Olympic)",Skiing,Ski Jumping,1151,913
1341,"Large Hill, Team, Men (Olympic)",1285,"Large Hill, Team, Men (Olympic)",Skiing,Ski Jumping,4,490
2319,"Ski Jumping Men's Large Hill, Team",1285,"Large Hill, Team, Men (Olympic)",Skiing,Ski Jumping,410,490
2360,Luge Men's Singles,1299,"Singles, Men (Olympic)",Luge,Luge,540,610
1368,"Sprint, Men (Olympic)",1308,"Sprint, Men (Olympic)",Skiing,Cross Country Skiing,88,455
2186,Nordic Combined Men's Sprint,1308,"Sprint, Men (Olympic)",Skiing,Cross Country Skiing,88,455
1347,Military Ski Patrol (Skiing),1312,Military Ski Patrol (Skiing),Skiing,Cross Country Skiing,2,9
2158,Biathlon Men's 12.5 kilometres Pursuit,1333,"12.5 kilometres Pursuit, Men (Olympic)",Biathlon,Biathlon,233,353
2457,Biathlon Men's 15 kilometres Mass Start,1334,"15 kilometres Mass Start, Men (Olympic)",Biathlon,Biathlon,90,148
1348,"Military Ski Patrol, Men (Olympic (non-medal))",1365,"Military Ski Patrol, Men (Olympic (non-medal))",Skiing,Cross Country Skiing,2,9
2472,Luge Mixed Team Relay,1361,"Team Relay, Mixed (Olympic)",Luge,Luge,48,145
1417,Alpine Skiing (Skiing),1362,Alpine Skiing (Skiing),Skiing,Ski Jumping,1,1
1663,Alpine Skiing (Skiing),1362,Alpine Skiing (Skiing),Skiing,Ski Jumping,1,1
2531,"Nordic Combined Men's Normal Hill / 10 km, Individual",1369,"Normal Hill / 10 km, Individual, Men (Olympic)",Skiing,Nordic Combined,91,182
2532,"Nordic Combined Men's Large Hill / 10 km, Individual",1370,"Large Hill / 10 km, Individual, Men (Olympic)",Skiing,Nordic Combined,92,186
2415,"Canoeing Women's Kayak Singles, 200 metres",1375,"Kayak Singles, 200 metres, Women (Olympic)",Canoeing,Canoe Sprint,81,90
2515,"Canoeing Men's Kayak Singles, 200 metres",1376,"Kayak Singles, 200 metres, Men (Olympic)",Canoeing,Canoe Sprint,56,66
2377,"Canoeing Men's Kayak Doubles, 200 metres",1377,"Kayak Doubles, 200 metres, Men (Olympic)",Canoeing,Canoe Sprint,62,54
1626,"Omnium, Women (Olympic)",1379,"Omnium, Women (Olympic)",Cycling,Cycling Track,1,55
2549,Cycling Women's Omnium,1379,"Omnium, Women (Olympic)",Cycling,Cycling Track,49,55
2915,Women's Omnium,1379,"Omnium, Women (Olympic)",Cycling,Cycling Track,66,55
2398,Cycling Men's BMX,1380,"BMX, Men (Olympic)",Cycling,BMX Racing,123,118
2256,"Wrestling Women's Lightweight, Freestyle",1384,"Lightweight, Freestyle, Women (Olympic)",Wrestling,Wrestling Freestyle,83,82
1389,"10 kilometres Open Water, Women (Olympic)",1390,"10 kilometres Open Water, Women (Olympic)",Aquatics,Marathon Swimming,12,89
2440,Swimming Women's 10 kilometres Open Water,1390,"10 kilometres Open Water, Women (Olympic)",Aquatics,Marathon Swimming,102,89
1391,"10 kilometres Open Water, Men (Olympic)",1392,"10 kilometres Open Water, Men (Olympic)",Aquatics,Marathon Swimming,12,89
2506,Swimming Men's 10 kilometres Open Water,1392,"10 kilometres Open Water, Men (Olympic)",Aquatics,Marathon Swimming,96,89
2098,Taekwondo Men's Featherweight,1393,"Featherweight, Men (Olympic)",Taekwondo,Taekwondo,101,92
1971,Taekwondo Men's Flyweight,1394,"Flyweight, Men (Olympic)",Taekwondo,Taekwondo,105,92
1980,Taekwondo Women's Flyweight,1395,"Flyweight, Women (Olympic)",Taekwondo,Taekwondo,104,90
2040,Taekwondo Women's Featherweight,1396,"Featherweight, Women (Olympic)",Taekwondo,Taekwondo,95,87
2099,Taekwondo Men's Welterweight,1397,"Welterweight, Men (Olympic)",Taekwondo,Taekwondo,103,93
2349,Taekwondo Women's Welterweight,1399,"Welterweight, Women (Olympic)",Taekwondo,Taekwondo,94,91
2347,Taekwondo Men's Heavyweight,1400,"Heavyweight, Men (Olympic)",Taekwondo,Taekwondo,101,91
1406,"Heavyweight, Women (Olympic (non-medal))",1401,"Heavyweight, Women (Olympic)",Taekwondo,Taekwondo,1,89
2037,Taekwondo Women's Heavyweight,1401,"Heavyweight, Women (Olympic)",Taekwondo,Taekwondo,106,89
2291,Triathlon Men's Olympic Distance,1407,"Olympic Distance, Men (Olympic)",Triathlon,Triathlon,336,316
2024,Water Polo Women's Water Polo,1410,"Water Polo, Women (Olympic)",Aquatics,Water Polo,617,622
