fuente,valor_fuente,deporte_final,disciplina_final,criterio,evidencia_referencia,estado,filas_afectadas
fuente1,Mixed Sports,Skiing,Ski Jumping,disciplina determinada por patrón inequívoco del evento y taxonomía olímpica,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=3415338&parentDocumentId=3415336&skipCopyright=true&skipWatermark=true,RESOLVED,9
fuente1,Mixed Sports,Skiing,Snowboard,disciplina determinada por patrón inequívoco del evento y taxonomía olímpica,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=3415338&parentDocumentId=3415336&skipCopyright=true&skipWatermark=true,RESOLVED,2
fuente1,Mixed Sports,YOG,"10 kilometres, Boys",disciplina determinada por patrón inequívoco del evento y taxonomía olímpica,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=3415338&parentDocumentId=3415336&skipCopyright=true&skipWatermark=true,RESOLVED,7
fuente1,Mixed Sports,YOG,"5 kilometres, Girls",disciplina determinada por patrón inequívoco del evento y taxonomía olímpica,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=3415338&parentDocumentId=3415336&skipCopyright=true&skipWatermark=true,RESOLVED,7
fuente1,Mixed Sports,YOG,"Cross-Country / Biathlon Relay, Mixed Youth",disciplina determinada por patrón inequívoco del evento y taxonomía olímpica,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=3415338&parentDocumentId=3415336&skipCopyright=true&skipWatermark=true,RESOLVED,14
fuente1,Mixed Sports,YOG,"Cross-Country Skiing / Ski Jumping / Nordic Combined Team, Mixed Youth",disciplina determinada por patrón inequívoco del evento y taxonomía olímpica,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=3415338&parentDocumentId=3415336&skipCopyright=true&skipWatermark=true,RESOLVED,9
fuente1,Mixed Sports,YOG,"Cross, Girls",disciplina determinada por patrón inequívoco del evento y taxonomía olímpica,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=3415338&parentDocumentId=3415336&skipCopyright=true&skipWatermark=true,RESOLVED,2
fuente1,Mixed Sports,YOG,"Freestyle/Snowboard Relay, Mixed Youth",disciplina determinada por patrón inequívoco del evento y taxonomía olímpica,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=3415338&parentDocumentId=3415336&skipCopyright=true&skipWatermark=true,RESOLVED,3
fuente1,Mixed Sports,YOG,"Normal Hill / 5 km, Individual, Boys",disciplina determinada por patrón inequívoco del evento y taxonomía olímpica,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=3415338&parentDocumentId=3415336&skipCopyright=true&skipWatermark=true,RESOLVED,4
fuente1,Mixed Sports,YOG,"Normal Hill, Individual, Boys",disciplina determinada por patrón inequívoco del evento y taxonomía olímpica,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=3415338&parentDocumentId=3415336&skipCopyright=true&skipWatermark=true,RESOLVED,2
fuente1,Mixed Sports,YOG,"Normal Hill, Individual, Girls",disciplina determinada por patrón inequívoco del evento y taxonomía olímpica,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=3415338&parentDocumentId=3415336&skipCopyright=true&skipWatermark=true,RESOLVED,3
fuente1,Mixed Sports,YOG,"Normal Hill, Team, Mixed Youth",disciplina determinada por patrón inequívoco del evento y taxonomía olímpica,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=3415338&parentDocumentId=3415336&skipCopyright=true&skipWatermark=true,RESOLVED,9
fuente1,Mixed Sports,YOG,"Ski Cross, Girls",disciplina determinada por patrón inequívoco del evento y taxonomía olímpica,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=3415338&parentDocumentId=3415336&skipCopyright=true&skipWatermark=true,RESOLVED,1
fuente1,Mixed Sports,YOG,"Sprint, Boys",disciplina determinada por patrón inequívoco del evento y taxonomía olímpica,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=3415338&parentDocumentId=3415336&skipCopyright=true&skipWatermark=true,RESOLVED,7
fuente1,Mixed Sports,YOG,"Sprint, Girls",disciplina determinada por patrón inequívoco del evento y taxonomía olímpica,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=3415338&parentDocumentId=3415336&skipCopyright=true&skipWatermark=true,RESOLVED,7
fuente1,Modern Pentathlon,Modern Pentathlon,Modern Pentathlon,denominación canónica contrastada con el programa olímpico,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=3415338&parentDocumentId=3415336&skipCopyright=true&skipWatermark=true,RESOLVED,1776
fuente1,Motorboating,Motorboating,Motorboating,denominación histórica documentada en la evolución del programa olímpico,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=174689&parentDocumentId=174657&skipCopyright=true&skipWatermark=true,RESOLVED,17
