olympedia_edition_id,id_edicion,anio,temporada,olympedia_athlete_id,nombre_referencia,id_atleta_candidato,nombre_local_candidato,filas_edicion_candidato,clasificacion,decision,motivo,candidatos_fuzzy_diagnostico,referencia
17,26,1968,Summer,42692,Otto Brolo,42370,Otto Brolo,2,STRONG_NAME_EDITION_MATCH,KEEP_CANDIDATE,Coincidencia exacta normalizada de nombre dentro de la misma edición; requiere consolidación de IDs si hay duplicados históricos.,,https://www.olympedia.org/countries/GUA/editions/17
17,26,1968,Summer,42693,Gerardo Castañeda,42371,Gerardo Castañeda,1,STRONG_NAME_EDITION_MATCH,KEEP_CANDIDATE,Coincidencia exacta normalizada de nombre dentro de la misma edición; requiere consolidación de IDs si hay duplicados históricos.,,https://www.olympedia.org/countries/GUA/editions/17
17,26,1968,Summer,42694,Víctor Castellanos,42372,Víctor Castellanos,1,STRONG_NAME_EDITION_MATCH,KEEP_CANDIDATE,Coincidencia exacta normalizada de nombre dentro de la misma edición; requiere consolidación de IDs si hay duplicados históricos.,,https://www.olympedia.org/countries/GUA/editions/17
17,26,1968,Summer,42696,Leonel Fernández,42374,Leonel Fernández,1,STRONG_NAME_EDITION_MATCH,KEEP_CANDIDATE,Coincidencia exacta normalizada de nombre dentro de la misma edición; requiere consolidación de IDs si hay duplicados históricos.,,https://www.olympedia.org/countries/GUA/editions/17
17,26,1968,Summer,42700,José Marroquín,42378,José Marroquín,1,STRONG_NAME_EDITION_MATCH,KEEP_CANDIDATE,Coincidencia exacta normalizada de nombre dentro de la misma edición; requiere consolidación de IDs si hay duplicados históricos.,,https://www.olympedia.org/countries/GUA/editions/17
17,26,1968,Summer,42702,Felipe Ortiz,42380,Felipe Ortiz,1,STRONG_NAME_EDITION_MATCH,KEEP_CANDIDATE,Coincidencia exacta normalizada de nombre dentro de la misma edición; requiere consolidación de IDs si hay duplicados históricos.,,https://www.olympedia.org/countries/GUA/editions/17
17,26,1968,Summer,42706,Fernando Samoyoa,,,0,UNMATCHED_REFERENCE,REVIEW_REQUIRED,No existe coincidencia exacta segura en los campos de nombre de la participación/atleta dentro de la edición.,fernandosamoya,https://www.olympedia.org/countries/GUA/editions/17
17,26,1968,Summer,42709,Francisco Sandoval,42387,Francisco Sandoval,1,STRONG_NAME_EDITION_MATCH,KEEP_CANDIDATE,Coincidencia exacta normalizada de nombre dentro de la misma edición; requiere consolidación de IDs si hay duplicados históricos.,,https://www.olympedia.org/countries/GUA/editions/17
17,26,1968,Summer,42711,Pablo Sittler,42389,Pablo Sittler,2,STRONG_NAME_EDITION_MATCH,KEEP_CANDIDATE,Coincidencia exacta normalizada de nombre dentro de la misma edición; requiere consolidación de IDs si hay duplicados históricos.,,https://www.olympedia.org/countries/GUA/editions/17
17,26,1968,Summer,48005,Silvana Asturias,47654,Silvana Asturias,9,STRONG_NAME_EDITION_MATCH,KEEP_CANDIDATE,Coincidencia exacta normalizada de nombre dentro de la misma edición; requiere consolidación de IDs si hay duplicados históricos.,,https://www.olympedia.org/countries/GUA/editions/17
17,26,1968,Summer,48008,Ramiro Benavides,47657,Ramiro Benavides,3,STRONG_NAME_EDITION_MATCH,KEEP_CANDIDATE,Coincidencia exacta normalizada de nombre dentro de la misma edición; requiere consolidación de IDs si hay duplicados históricos.,,https://www.olympedia.org/countries/GUA/editions/17
17,26,1968,Summer,48012,Antonio Cruz,47661,Antonio Cruz,5,STRONG_NAME_EDITION_MATCH,KEEP_CANDIDATE,Coincidencia exacta normalizada de nombre dentro de la misma edición; requiere consolidación de IDs si hay duplicados históricos.,,https://www.olympedia.org/countries/GUA/editions/17
17,26,1968,Summer,55914,Francisco Echeverría,55519,Francisco Echeverría,1,STRONG_NAME_EDITION_MATCH,KEEP_CANDIDATE,Coincidencia exacta normalizada de nombre dentro de la misma edición; requiere consolidación de IDs si hay duplicados históricos.,,https://www.olympedia.org/countries/GUA/editions/17
17,26,1968,Summer,58519,Ángel Aldana,,,0,UNMATCHED_REFERENCE,REVIEW_REQUIRED,No existe coincidencia exacta segura en los campos de nombre de la participación/atleta dentro de la edición.,angelaldama,https://www.olympedia.org/countries/GUA/editions/17
17,26,1968,Summer,58523,José Luis García,58111,José Luis García,2,STRONG_NAME_EDITION_MATCH,KEEP_CANDIDATE,Coincidencia exacta normalizada de nombre dentro de la misma edición; requiere consolidación de IDs si hay duplicados históricos.,,https://www.olympedia.org/countries/GUA/editions/17
17,26,1968,Summer,58526,José Manuel Hernández,58113,José Manuel Hernández,2,STRONG_NAME_EDITION_MATCH,KEEP_CANDIDATE,Coincidencia exacta normalizada de nombre dentro de la misma edición; requiere consolidación de IDs si hay duplicados históricos.,,https://www.olympedia.org/countries/GUA/editions/17
17,26,1968,Summer,58530,Gustavo Ramírez,58117,Gustavo Ramírez,2,STRONG_NAME_EDITION_MATCH,KEEP_CANDIDATE,Coincidencia exacta normalizada de nombre dentro de la misma edición; requiere consolidación de IDs si hay duplicados históricos.,,https://www.olympedia.org/countries/GUA/editions/17
17,26,1968,Summer,58532,Javier Raxón,58119,Javier Raxón,2,STRONG_NAME_EDITION_MATCH,KEEP_CANDIDATE,Coincidencia exacta normalizada de nombre dentro de la misma edición; requiere consolidación de IDs si hay duplicados históricos.,,https://www.olympedia.org/countries/GUA/editions/17
