origen,destino_canonico,accion,clasificacion,evidencia
330433,58211,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29142, edición=34, evento=488, NOC=14, medalla=."
330434,58212,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29142, edición=34, evento=490, NOC=14, medalla=."
330435,58213,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29142, edición=34, evento=491, NOC=14, medalla=."
330436,58214,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29142, edición=34, evento=492, NOC=14, medalla=."
330437,58215,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29142, edición=34, evento=493, NOC=14, medalla=."
330438,58216,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29142, edición=34, evento=494, NOC=14, medalla=."
330439,58217,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29142, edición=34, evento=495, NOC=14, medalla=."
330976,58218,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29143, edición=20, evento=488, NOC=14, medalla=."
330977,58219,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29143, edición=20, evento=489, NOC=14, medalla=."
330978,58220,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29143, edición=20, evento=490, NOC=14, medalla=."
330979,58221,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29143, edición=20, evento=491, NOC=14, medalla=."
330980,58222,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29143, edición=20, evento=492, NOC=14, medalla=."
