nombre_normalizado,ids_involucrados,identidad_canonica_propuesta,nombre_muestra,clasificacion,evidencia_a_favor,conflictos,participaciones_por_id,cantidad_ids,nota
ren guissart,232061;232062,232061,Ren Guissart,REVIEW,nombre_auxiliar_comun,,232061:1;232062:1,2,No se aplica merge; requiere revisión.
jacques guittet,232064;232065;232066;232067,232064,Jacques Guittet,REVIEW,nombre_auxiliar_comun,,232064:1;232065:1;232066:1;232067:1,4,No se aplica merge; requiere revisión.
aleksandr gukov,232070;232071;232072,232070,Aleksandr Gukov,REVIEW,nombre_auxiliar_comun,,232070:1;232071:1;232072:1,3,No se aplica merge; requiere revisión.
hans gulbrandsen,232080;232081,232080,Hans Gulbrandsen,REVIEW,nombre_auxiliar_comun,,232080:1;232081:1,2,No se aplica merge; requiere revisión.
solveig andreassen,232083;232084,232083,Solveig (-andreassen),REVIEW,nombre_auxiliar_comun,,232083:1;232084:1,2,No se aplica merge; requiere revisión.
holger guldager,232087;232088,232087,Holger Guldager,REVIEW,nombre_auxiliar_comun,,232087:1;232088:1,2,No se aplica merge; requiere revisión.
isabelle gulldn,232097;232098;232099,232097,Isabelle Gulldn,REVIEW,nombre_auxiliar_comun,,232097:1;232098:1;232099:1,3,No se aplica merge; requiere revisión.
maria gulotta,232106;232107,232106,Maria Gulotta,REVIEW,nombre_auxiliar_comun,,232106:1;232107:1,2,No se aplica merge; requiere revisión.
leonard gumpel,232132;232133;232134,232132,Leonard Gumpel,REVIEW,nombre_auxiliar_comun,,232132:1;232133:1;232134:1,3,No se aplica merge; requiere revisión.
dilara gnaydn,232143;232144;232145;232146,232143,Dilara Gnaydn,REVIEW,nombre_auxiliar_comun,,232143:1;232144:1;232145:1;232146:1,4,No se aplica merge; requiere revisión.
bjrn gundersen,232149;232150,232149,Bjrn Gundersen,REVIEW,nombre_auxiliar_comun,,232149:1;232150:1,2,No se aplica merge; requiere revisión.
viktoria gne,232162;232163;232164,232162,Viktoria Gne,REVIEW,nombre_auxiliar_comun,,232162:1;232163:1;232164:1,3,No se aplica merge; requiere revisión.
ramazan gngr,232167;232168,232167,Ramazan Gngr,REVIEW,nombre_auxiliar_comun,,232167:1;232168:1,2,No se aplica merge; requiere revisión.
charles gunn,232172;232173,232172,Charles Gunn,REVIEW,nombre_auxiliar_comun,,232172:1;232173:1,2,No se aplica merge; requiere revisión.
sven gunnarsson,232175;232176;232177;232178,232175,Sven Gunnarsson,REVIEW,nombre_auxiliar_comun,,232175:1;232176:1;232177:1;232178:1,4,No se aplica merge; requiere revisión.
lars gunnarsson,232180;232181;232182;232183,232180,Lars Gunnarsson,REVIEW,nombre_auxiliar_comun,,232180:1;232181:1;232182:1;232183:1,4,No se aplica merge; requiere revisión.
sally bigg,232188;232189;232190;232191;232192;232193,232188,Sally (-bigg),REVIEW,nombre_auxiliar_comun,,232188:1;232189:1;232190:1;232191:1;232192:1;232193:1,6,No se aplica merge; requiere revisión.
fritz gunst,232195;232196;232197,232195,Fritz Gunst,REVIEW,nombre_auxiliar_comun,,232195:1;232196:1;232197:1,3,No se aplica merge; requiere revisión.
