olympedia_edition_id,anio,temporada,id_edicion_local,olympedia_athlete_id,nombre_referencia,nombre_normalizado,estados_observados,referencia,contado_en_referencia_263,motivo_referencia
22,1988,Summer,36,15291,Max Leiva,maxleiva,,https://www.olympedia.org/countries/GUA/editions/22,YES,Participante de referencia.
22,1988,Summer,36,16872,Andrés Torres,andrestorres,,https://www.olympedia.org/countries/GUA/editions/22,YES,Participante de referencia.
22,1988,Summer,36,25594,Jaime Batres,jaimebatres,,https://www.olympedia.org/countries/GUA/editions/22,YES,Participante de referencia.
22,1988,Summer,36,25597,Carlos Castañeda,carloscastaneda,,https://www.olympedia.org/countries/GUA/editions/22,YES,Participante de referencia.
22,1988,Summer,36,25600,Juan Manuel Dávila,juanmanueldavila,,https://www.olympedia.org/countries/GUA/editions/22,YES,Participante de referencia.
22,1988,Summer,36,25601,Norman Delva,normandelva,,https://www.olympedia.org/countries/GUA/editions/22,YES,Participante de referencia.
22,1988,Summer,36,25603,Juan Manuel Funes,juanmanuelfunes,,https://www.olympedia.org/countries/GUA/editions/22,YES,Participante de referencia.
22,1988,Summer,36,25606,David Gardiner,davidgardiner,,https://www.olympedia.org/countries/GUA/editions/22,YES,Participante de referencia.
22,1988,Summer,36,25611,Edgar Jerez,edgarjerez,,https://www.olympedia.org/countries/GUA/editions/22,YES,Participante de referencia.
22,1988,Summer,36,25613,Luis López,luislopez,,https://www.olympedia.org/countries/GUA/editions/22,YES,Participante de referencia.
22,1988,Summer,36,25616,Rocael Mazariegos,rocaelmazariegos,,https://www.olympedia.org/countries/GUA/editions/22,YES,Participante de referencia.
22,1988,Summer,36,25622,Víctor Hugo Monzón,victorhugomonzon,,https://www.olympedia.org/countries/GUA/editions/22,YES,Participante de referencia.
22,1988,Summer,36,25624,Alejandro Ortiz,alejandroortiz,,https://www.olympedia.org/countries/GUA/editions/22,YES,Participante de referencia.
22,1988,Summer,36,25625,Adán Paniagua,adanpaniagua,,https://www.olympedia.org/countries/GUA/editions/22,YES,Participante de referencia.
22,1988,Summer,36,25628,Byron Pérez,byronperez,,https://www.olympedia.org/countries/GUA/editions/22,YES,Participante de referencia.
22,1988,Summer,36,25629,Ricardo Piccinini,ricardopiccinini,,https://www.olympedia.org/countries/GUA/editions/22,YES,Participante de referencia.
22,1988,Summer,36,25631,Julio Alberto Rodas,julioalbertorodas,,https://www.olympedia.org/countries/GUA/editions/22,YES,Participante de referencia.
22,1988,Summer,36,25634,Kevin Sandoval,kevinsandoval,,https://www.olympedia.org/countries/GUA/editions/22,YES,Participante de referencia.
22,1988,Summer,36,25641,Allan Wellman,allanwellman,,https://www.olympedia.org/countries/GUA/editions/22,YES,Participante de referencia.
22,1988,Summer,36,28597,María Flores-Wurmser,mariafloreswurmser,,https://www.olympedia.org/countries/GUA/editions/22,YES,Participante de referencia.
22,1988,Summer,36,42710,Carlos Silva,carlossilva,,https://www.olympedia.org/countries/GUA/editions/22,YES,Participante de referencia.
22,1988,Summer,36,48006,Blanca Morales,blancamorales,,https://www.olympedia.org/countries/GUA/editions/22,YES,Participante de referencia.
22,1988,Summer,36,58533,Edvin Eduardo Vázquez,edvineduardovazquez,,https://www.olympedia.org/countries/GUA/editions/22,YES,Participante de referencia.
22,1988,Summer,36,70900,María Menéndez,mariamenendez,,https://www.olympedia.org/countries/GUA/editions/22,YES,Participante de referencia.
22,1988,Summer,36,700460,Otoniel Guevara,otonielguevara,DNS,https://www.olympedia.org/countries/GUA/editions/22,NO,No starter en la tabla de resultados (DNS/DNF-only); excluido del conteo Olympedia 263.
22,1988,Summer,36,1006150,Eddy Alburez,eddyalburez,DNS,https://www.olympedia.org/countries/GUA/editions/22,NO,No starter en la tabla de resultados (DNS/DNF-only); excluido del conteo Olympedia 263.
43,1988,Winter,37,82403,Fiamma Smith,fiammasmith,DNF,https://www.olympedia.org/countries/GUA/editions/43,YES,Participante de referencia.
43,1988,Winter,37,84409,Carlos Andrés Bruderer,carlosandresbruderer,DNF,https://www.olympedia.org/countries/GUA/editions/43,YES,Participante de referencia.
43,1988,Winter,37,84410,Christian Bruderer,christianbruderer,DNF,https://www.olympedia.org/countries/GUA/editions/43,YES,Participante de referencia.
43,1988,Winter,37,84480,Dag Burgos,dagburgos,,https://www.olympedia.org/countries/GUA/editions/43,YES,Participante de referencia.
43,1988,Winter,37,84481,Ricardo Burgos,ricardoburgos,,https://www.olympedia.org/countries/GUA/editions/43,YES,Participante de referencia.
43,1988,Winter,37,96766,Alfredo Rego,alfredorego,DNS,https://www.olympedia.org/countries/GUA/editions/43,YES,Participante de referencia.
23,1992,Summer,38,3738,Mauricio Ávila,mauricioavila,,https://www.olympedia.org/countries/GUA/editions/23,YES,Participante de referencia.
23,1992,Summer,38,3743,Magno Ruiz,magnoruiz,,https://www.olympedia.org/countries/GUA/editions/23,YES,Participante de referencia.
23,1992,Summer,38,28598,Luisa Portocarrero,luisaportocarrero,,https://www.olympedia.org/countries/GUA/editions/23,YES,Participante de referencia.
23,1992,Summer,38,42691,Cristián Bermúdez,cristianbermudez,,https://www.olympedia.org/countries/GUA/editions/23,YES,Participante de referencia.
23,1992,Summer,38,42703,Francisco Romero Arribas,franciscoromeroarribas,,https://www.olympedia.org/countries/GUA/editions/23,YES,Participante de referencia.
23,1992,Summer,38,42707,Sergio Sánchez,sergiosanchez,,https://www.olympedia.org/countries/GUA/editions/23,YES,Participante de referencia.
23,1992,Summer,38,42708,Julio Sandoval,juliosandoval,,https://www.olympedia.org/countries/GUA/editions/23,YES,Participante de referencia.
23,1992,Summer,38,48006,Blanca Morales,blancamorales,,https://www.olympedia.org/countries/GUA/editions/23,YES,Participante de referencia.
