caso,fase,posicion,atleta,id_atleta,medallas,estado,detalle
ranking_Gymnastics_Gold,preview,10,Viktor Chukarin,31035,7,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Gymnastics_Silver,actual,1,Aleksandr Dityatin,31009,12,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Gymnastics_Silver,actual,2,Mikhail Voronin,31040,12,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Gymnastics_Silver,actual,3,Nikolay Andrianov,31000,10,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Gymnastics_Silver,actual,4,Viktor Lisitsky,31019,10,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Gymnastics_Silver,actual,5,Yury Titov,31037,10,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Gymnastics_Silver,actual,6,Erika Zuchold,28313,8,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Gymnastics_Silver,actual,7,Svetlana Khorkina,28837,8,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Gymnastics_Silver,actual,8,Eugen Mack,30796,8,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Gymnastics_Silver,actual,9,Michael Reusch,30805,8,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Gymnastics_Silver,actual,10,Hryhoriy Misiutin,30996,8,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Gymnastics_Silver,preview,1,Erika Zuchold,28313,8,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Gymnastics_Silver,preview,2,Svetlana Khorkina,28837,8,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Gymnastics_Silver,preview,3,Tamara Manina,28989,6,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Gymnastics_Silver,preview,4,Lyudmila Turishcheva,29003,6,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Gymnastics_Silver,preview,5,Aleksandr Dityatin,31009,6,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Gymnastics_Silver,preview,6,Mikhail Voronin,31040,6,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Gymnastics_Silver,preview,7,Shawn Johnson,116262,6,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Gymnastics_Silver,preview,8,Nastia Liukin,116263,6,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Gymnastics_Silver,preview,9,Mariya Paseka,124683,6,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Gymnastics_Silver,preview,10,Mariya Gorokhovskaya,28970,5,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Gymnastics_Bronze,actual,1,Heikki Savolainen,29611,12,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Gymnastics_Bronze,actual,2,Aleksey Nemov,30743,12,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Gymnastics_Bronze,actual,3,Margit Korondi,28422,8,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Gymnastics_Bronze,actual,4,William Merz,31148,8,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Gymnastics_Bronze,actual,5,Gina Gogean,28792,6,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Gymnastics_Bronze,actual,6,Dominique Dawes,29025,6,PASS,Ranking calculado directamente desde PARTICIPACION.
