fuente,archivo,columna,valor_original,frecuencia,motivo
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 February 1981,2,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 February 1992,1,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 February 1995,3,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 February 1996,1,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 February 1997,2,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 February 1998,1,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 February 1999,2,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 February 2000,1,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 February 2001,3,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 February 2002,4,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 February 2005,2,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 January 1898,1,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 January 1915,1,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 January 1917,1,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 January 1928,1,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 January 1931,1,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 January 1932,3,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 January 1933,1,Fecha extraída sin ciudad/región explícita.
