clave_logica_final,clasificacion,causa_primaria,filas_entrada,filas_eliminadas,id_participacion_superviviente,ids_participacion_entrada,id_atletas_originales,id_eventos_originales,campos_enriquecidos,campos_conflictivos,fuentes
1396|41|113|223|United States|Gold,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,3,2,3083,3083;453994;696163,1396,113;2033,edad;altura_cm_registrada,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
1398|41|113|108|Japan|,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,3,2,3085,3085;460026;701104,1398,113;2033,edad;altura_cm_registrada;peso_kg_registrado,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
1398|43|113|108|Japan|Silver,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,2,1,3086,3086;460027,1398,113;2033,edad;altura_cm_registrada;peso_kg_registrado,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
1399|41|113|38|Canada|,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,3,2,3087,3087;460520;701515,1399,113;2033,edad;altura_cm_registrada;peso_kg_registrado,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
1400|41|113|14|Australia|Bronze,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,3,2,3088,3088;461629;702450,1400,113;2033,edad;altura_cm_registrada;peso_kg_registrado,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
1400|43|113|14|Australia|Bronze,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,2,1,3089,3089;461630,1400,113;2033,edad;altura_cm_registrada;peso_kg_registrado,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
1401|41|113|38|Canada|,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,3,2,3090,3090;461852;702643,1401,113;2033,edad;altura_cm_registrada;peso_kg_registrado,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
1402|41|113|14|Australia|Bronze,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,3,2,3091,3091;462640;703359,1402,113;2033,edad;altura_cm_registrada;peso_kg_registrado,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
1403|41|113|150|Netherlands|,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,3,2,3092,3092;463720;704257,1403,113;2033,edad,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
1404|41|113|170|Puerto Rico|,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,3,2,3093,3093;467239;707190,1404,113;2033,edad,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
1405|41|113|170|Puerto Rico|,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS + ATHLETE_MERGE,2,1,3094,3094;468025,1405;167971,113;2033,edad,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
1406|41|113|108|Japan|,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,3,2,3095,3095;468288;708036,1406,113;2033,edad;altura_cm_registrada;peso_kg_registrado,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
1407|41|113|38|Canada|,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,3,2,3096,3096;473684;712637,1407,113;2033,edad;altura_cm_registrada;peso_kg_registrado,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
1408|41|113|150|Netherlands|,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,3,2,3097,3097;478676;716744,1408,113;2033,edad,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
