componente_evento,miembros,nombres,tamano,deportes,disciplinas,generos,pares_evaluados,pares_safe,pares_conflict_review,pares_faltantes,coexistencia,clasificacion,id_evento_canonico_propuesto,nombre_canonico_propuesto,razon
EV00063,255;2473;2666,"Cycling Women's Individual Time Trial | Individual Time Trial, Women (Olympic) | Women's Individual Time Trial",3,cycling,cycling road,women,3,2,0,0,,SAFE_EVENT_COMPONENT,2473,Cycling Women's Individual Time Trial,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00064,259;1998;2893,"Cycling Women's Sprint | Sprint, Women (Olympic) | Women's Sprint",3,cycling,cycling track,women,3,2,0,0,,SAFE_EVENT_COMPONENT,1998,Cycling Women's Sprint,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00065,262;1083,"3,000 metres Steeplechase, Women (Olympic) | 3,000 metres, Women (Olympic)",2,athletics,athletics,women,1,1,0,0,,SAFE_EVENT_COMPONENT,1083,"3,000 metres Steeplechase, Women (Olympic)","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00066,266;2538;2894,"Cycling Women's Keirin | Keirin, Women (Olympic) | Women's Keirin",3,cycling,cycling track,women,3,2,0,0,,SAFE_EVENT_COMPONENT,2538,Cycling Women's Keirin,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00067,267;2603;2903;3080,"Cycling Women's Team Sprint | Team Sprint, Women (Olympic) | Women's Team Sprint | Women's Team Sprint Team",4,cycling,cycling track,women,6,3,2,0,,REVIEW_EVENT_COMPONENT,2603,Cycling Women's Team Sprint,contiene CONFLICT_ALIAS/REVIEW_ALIAS interno
EV00068,272;2330;2977;3090,"Cycling Men's Madison | Madison, Men (Olympic) | Men's Madison | Men's Madison Team",4,cycling,cycling track,men,6,3,0,0,,SAFE_EVENT_COMPONENT,2330,Cycling Men's Madison,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00069,275;325,"Tandem Sprint, 2,000 metres, Men (Intercalated) | Tandem Sprint, 2,000 metres, Men (Olympic)",2,cycling,cycling track,men,1,1,0,0,,SAFE_EVENT_COMPONENT,325,"Tandem Sprint, 2,000 metres, Men (Intercalated)","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00070,279;2336;2851,"Cycling Men's Individual Time Trial | Individual Time Trial, Men (Olympic) | Men's Individual Time Trial",3,cycling,cycling road,men,3,2,0,0,,SAFE_EVENT_COMPONENT,2336,Cycling Men's Individual Time Trial,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00071,285;2938,"Cross-Country, Men (Olympic) | Men's Cross-country",2,cycling,mountain bike,men,1,1,0,0,,SAFE_EVENT_COMPONENT,285,"Cross-Country, Men (Olympic)","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00072,286;319,"333⅓ metres Time Trial, Men (Intercalated) | 333⅓ metres Time Trial, Men (Olympic)",2,cycling,cycling road,men,1,1,0,0,,SAFE_EVENT_COMPONENT,319,"333⅓ metres Time Trial, Men (Intercalated)","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
