clave_logica_original,id_atleta,id_edicion,id_evento,id_noc,equipo,medalla,cantidad_filas,duplicados_excedentes,clasificacion,campos_conflictivos,campos_complementarios,ids_participacion,procedencia
18058|3|132|223||,18058,3,132,223,,,2,1,PREEXISTING_CONFLICT,posicion;empatado,,32876;32877,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
18064|3|132|78||,18064,3,132,78,,,2,1,PREEXISTING_CONFLICT,posicion,,32890;32891,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
18066|3|132|223||,18066,3,132,223,,,2,1,PREEXISTING_CONFLICT,posicion,,32896;32897,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
18069|3|132|223||,18069,3,132,223,,,2,1,PREEXISTING_CONFLICT,posicion;empatado,,32904;32905,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
18070|3|132|223||,18070,3,132,223,,,2,1,PREEXISTING_CONFLICT,posicion;empatado,,32909;32910,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
18072|3|132|223||,18072,3,132,223,,,2,1,PREEXISTING_CONFLICT,posicion,,32913;32914,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
18076|3|132|223||,18076,3,132,223,,,2,1,PREEXISTING_CONFLICT,posicion;empatado,,32923;32924,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
18077|3|132|223||,18077,3,132,223,,,2,1,PREEXISTING_CONFLICT,posicion,,32926;32927,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
18078|3|132|223||,18078,3,132,223,,,2,1,PREEXISTING_CONFLICT,posicion,,32929;32930,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
18084|3|132|223||,18084,3,132,223,,,2,1,PREEXISTING_CONFLICT,posicion,,32944;32945,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
18086|3|132|223||,18086,3,132,223,,,2,1,PREEXISTING_CONFLICT,posicion,,32949;32950,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
18088|3|132|223||,18088,3,132,223,,,2,1,PREEXISTING_CONFLICT,posicion,,32954;32955,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
18091|3|132|223||,18091,3,132,223,,,2,1,PREEXISTING_CONFLICT,posicion;empatado,,32960;32961,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
18092|3|132|223||,18092,3,132,223,,,2,1,PREEXISTING_CONFLICT,posicion,,32963;32964,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
18093|3|132|223||,18093,3,132,223,,,2,1,PREEXISTING_CONFLICT,posicion;empatado,,32966;32967,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
18094|3|132|223||,18094,3,132,223,,,2,1,PREEXISTING_CONFLICT,posicion,,32971;32972,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
61310|2|999|73|Sidi-Fekkar|,61310,2,999,73,Sidi-Fekkar,,2,1,PREEXISTING_CONFLICT,estado_resultado,,130107;130108,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
61316|2|999|73||,61316,2,999,73,,,2,1,PREEXISTING_CONFLICT,posicion,,130121;130122,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
61381|2|993|73||,61381,2,993,73,,,2,1,PREEXISTING_COMPLEMENTARY_DUPLICATE,,posicion;estado_resultado,130219;130220,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
61381|2|999|73||,61381,2,999,73,,,2,1,PREEXISTING_COMPLEMENTARY_DUPLICATE,,posicion;estado_resultado,130221;130222,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
61690|2|999|73||,61690,2,999,73,,,2,1,PREEXISTING_COMPLEMENTARY_DUPLICATE,,posicion;estado_resultado,130698;130699,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
