id_evento,nombre,deporte,disciplina,genero,categoria_edad,condicion_medalla,modalidad,team_individual,distancia_normalizada,distancia_compuesta,categoria_peso,aparato,numero_participantes,youth,non_medal,modificadores_restantes,redundancia_padre,semantic_key,fuentes
2306,Weightlifting Women's Flyweight,,,,adult,medal,,,,,,,,NO,NO,flyweight | weightlifting,0,"["""", """", """", ""adult"", ""medal"", [], [], [], [], [""flyweight"", ""weightlifting""]]",
2307,Swimming Women's 100 metres Breaststroke,,,,adult,medal,,,100:m,,,,,NO,NO,breaststroke | swimming,0,"["""", """", """", ""adult"", ""medal"", [], [""100:m""], [], [], [""breaststroke"", ""swimming""]]",
2308,Swimming Women's 200 metres Breaststroke,,,,adult,medal,,,200:m,,,,,NO,NO,breaststroke | swimming,0,"["""", """", """", ""adult"", ""medal"", [], [""200:m""], [], [], [""breaststroke"", ""swimming""]]",
2309,"Wrestling Men's Middleweight B, Greco-Roman",wrestling,wrestling greco roman,men,adult,medal,middleweight,,,,,,,NO,NO,b,0,"[""wrestling"", ""wrestling greco roman"", ""men"", ""adult"", ""medal"", [""middleweight""], [], [], [], [""b""]]",fuente2 | fuente3
2310,Athletics Men's Stone Throw,,,,adult,medal,,,,,,,,NO,NO,athletics | stone | throw,0,"["""", """", """", ""adult"", ""medal"", [], [], [], [], [""athletics"", ""stone"", ""throw""]]",
2311,"Athletics Men's Javelin Throw, Freestyle",athletics,athletics,men,adult,medal,freestyle,,,,,,,NO,NO,javelin | throw,0,"[""athletics"", ""athletics"", ""men"", ""adult"", ""medal"", [""freestyle""], [], [], [], [""javelin"", ""throw""]]",fuente2 | fuente3
2312,Athletics Men's Pentathlon (Ancient),athletics,athletics,men,adult,medal,,,,,,,,NO,NO,ancient | pentathlon,0,"[""athletics"", ""athletics"", ""men"", ""adult"", ""medal"", [], [], [], [], [""ancient"", ""pentathlon""]]",fuente2 | fuente3
2313,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",shooting,shooting,women,adult,medal,,,50:m,,,,,NO,NO,bore | positions | rifle | small | three,0,"[""shooting"", ""shooting"", ""women"", ""adult"", ""medal"", [], [""50:m""], [], [], [""bore"", ""positions"", ""rifle"", ""small"", ""three""]]",fuente2 | fuente3
2314,Swimming Women's 100 metres Butterfly,,,,adult,medal,,,100:m,,,,,NO,NO,butterfly | swimming,0,"["""", """", """", ""adult"", ""medal"", [], [""100:m""], [], [], [""butterfly"", ""swimming""]]",
2315,Weightlifting Men's Heavyweight I,weightlifting,weightlifting,men,adult,medal,heavyweight,,,,,,,NO,NO,i,0,"[""weightlifting"", ""weightlifting"", ""men"", ""adult"", ""medal"", [""heavyweight""], [], [], [], [""i""]]",fuente2 | fuente3
2316,"Athletics Women's 3,000 metres Steeplechase",athletics,athletics,women,adult,medal,,,3000:m,,,,,NO,NO,steeplechase,0,"[""athletics"", ""athletics"", ""women"", ""adult"", ""medal"", [], [""3000:m""], [], [], [""steeplechase""]]",fuente2 | fuente3
2317,"Athletics Men's Shot Put, Both Hands",athletics,athletics,men,adult,medal,shot,,,,,,,NO,NO,both | hands | put,0,"[""athletics"", ""athletics"", ""men"", ""adult"", ""medal"", [""shot""], [], [], [], [""both"", ""hands"", ""put""]]",fuente2 | fuente3
2318,"Ski Jumping Men's Large Hill, Individual",,,,adult,medal,individual,individual,,,,,individual,NO,NO,hill | jumping | large | ski,0,"["""", """", """", ""adult"", ""medal"", [""individual""], [], [], [], [""hill"", ""jumping"", ""large"", ""ski""]]",
2319,"Ski Jumping Men's Large Hill, Team",,,,adult,medal,team,team,,,,,team,NO,NO,hill | jumping | large | ski,0,"["""", """", """", ""adult"", ""medal"", [""team""], [], [], [], [""hill"", ""jumping"", ""large"", ""ski""]]",
2320,Shooting Women's Trap,shooting,shooting,women,adult,medal,,,,,,,,NO,NO,trap,0,"[""shooting"", ""shooting"", ""women"", ""adult"", ""medal"", [], [], [], [], [""trap""]]",fuente2 | fuente3
2321,Badminton Men's Doubles,badminton,badminton,men,adult,medal,doubles,,,,,,,NO,NO,,0,"[""badminton"", ""badminton"", ""men"", ""adult"", ""medal"", [""doubles""], [], [], [], []]",fuente2 | fuente3
2322,Swimming Women's 4 x 200 metres Freestyle Relay,aquatics,swimming,women,adult,medal,freestyle | relay,,200:m,,,,relay,NO,NO,4 | x,0,"[""aquatics"", ""swimming"", ""women"", ""adult"", ""medal"", [""freestyle"", ""relay""], [""200:m""], [], [], [""4"", ""x""]]",fuente2 | fuente3
2323,Athletics Men's 10 kilometres Walk,,,,adult,medal,,,10:km,,,,,NO,NO,athletics | walk,0,"["""", """", """", ""adult"", ""medal"", [], [""10:km""], [], [], [""athletics"", ""walk""]]",
2324,Athletics Women's 20 kilometres Walk,,,,adult,medal,,,20:km,,,,,NO,NO,athletics | walk,0,"["""", """", """", ""adult"", ""medal"", [], [""20:km""], [], [], [""athletics"", ""walk""]]",
2325,Athletics Women's 80 metres Hurdles,,,,adult,medal,,,80:m,,,,,NO,NO,athletics | hurdles,0,"["""", """", """", ""adult"", ""medal"", [], [""80:m""], [], [], [""athletics"", ""hurdles""]]",
2326,Sailing Men's One Person Heavyweight Dinghy,sailing,sailing,men,adult,medal,heavyweight,,,,,,,NO,NO,dinghy | one | person,0,"[""sailing"", ""sailing"", ""men"", ""adult"", ""medal"", [""heavyweight""], [], [], [], [""dinghy"", ""one"", ""person""]]",fuente2 | fuente3
2327,Freestyle Skiing Women's Aerials,,,,adult,medal,freestyle,,,,,,,NO,NO,aerials | skiing,0,"["""", """", """", ""adult"", ""medal"", [""freestyle""], [], [], [], [""aerials"", ""skiing""]]",
2328,"Art Competitions Mixed Painting, Paintings",art competitions,art competitions,mixed,adult,medal,mixed,,,,,,,NO,NO,painting | paintings,0,"[""art competitions"", ""art competitions"", ""mixed"", ""adult"", ""medal"", [""mixed""], [], [], [], [""painting"", ""paintings""]]",fuente2 | fuente3
2329,"Tennis Mixed Doubles, Covered Courts",tennis,tennis,mixed,adult,medal,doubles | mixed,,,,,,,NO,NO,courts | covered,0,"[""tennis"", ""tennis"", ""mixed"", ""adult"", ""medal"", [""doubles"", ""mixed""], [], [], [], [""courts"", ""covered""]]",fuente2 | fuente3
2330,Cycling Men's Madison,cycling,cycling track,men,adult,medal,,,,,,,,NO,NO,madison,0,"[""cycling"", ""cycling track"", ""men"", ""adult"", ""medal"", [], [], [], [], [""madison""]]",fuente2 | fuente3
