clasificacion,componente_evento,clave_logica_post,filas,eventos_originales,evento_canonico,cantidad_eventos_originales,extras_inducidos_por_alias,campos_conflictivos,ids_participacion,id_atleta,id_edicion,id_noc,equipo,medalla
ALIAS_INDUCED_MERGEABLE,EV500037,1416|41|113|38|Canada|,2,113;2033,113,2,1,,3107;489839,1416,41,38,Canada,
ALIAS_INDUCED_MERGEABLE,EV500037,1417|41|113|14|Australia|Bronze,3,113;2033,113,2,1,,3108;494391;729316,1417,41,14,Australia,Bronze
ALIAS_INDUCED_MERGEABLE,EV500037,1418|41|113|150|Netherlands|,2,113;2033,113,2,1,,3109;505809,1418,41,150,Netherlands,
ALIAS_INDUCED_MERGEABLE,EV500037,1419|41|113|14|Australia|Bronze,3,113;2033,113,2,1,,3110;507408;739767,1419,41,14,Australia,Bronze
ALIAS_INDUCED_MERGEABLE,EV500037,1421|41|113|14|Australia|Bronze,3,113;2033,113,2,1,,3113;509366;741392,1421,41,14,Australia,Bronze
ALIAS_INDUCED_MERGEABLE,EV500037,1421|43|113|14|Australia|Bronze,2,113;2033,113,2,1,,3114;509367,1421,43,14,Australia,Bronze
ALIAS_INDUCED_MERGEABLE,EV500037,1421|45|113|14|Australia|Silver,2,113;2033,113,2,1,,3115;509368,1421,45,14,Australia,Silver
ALIAS_INDUCED_MERGEABLE,EV500037,1421|47|113|14|Australia|Bronze,2,113;2033,113,2,1,,3116;509369,1421,47,14,Australia,Bronze
ALIAS_INDUCED_MERGEABLE,EV500037,1424|41|113|108|Japan|,3,113;2033,113,2,1,,3119;515188;746040,1424,41,108,Japan,
ALIAS_INDUCED_MERGEABLE,EV500037,1424|43|113|108|Japan|Silver,2,113;2033,113,2,1,,3120;515189,1424,43,108,Japan,Silver
ALIAS_INDUCED_MERGEABLE,EV500037,1424|45|113|108|Japan|Bronze,2,113;2033,113,2,1,,3121;515190,1424,45,108,Japan,Bronze
ALIAS_INDUCED_MERGEABLE,EV500037,1425|41|113|170|Puerto Rico|,3,113;2033,113,2,1,,3122;522710;751929,1425,41,170,Puerto Rico,
ALIAS_INDUCED_MERGEABLE,EV500037,1426|41|113|38|Canada|,3,113;2033,113,2,1,,3123;528676;756767,1426,41,38,Canada,
ALIAS_INDUCED_MERGEABLE,EV500037,1427|41|113|223|United States|Gold,3,113;2033,113,2,1,,3124;530707;758319,1427,41,223,United States,Gold
ALIAS_INDUCED_MERGEABLE,EV500037,1428|41|113|223|United States|Gold,3,113;2033,113,2,1,,3125;530781;758386,1428,41,223,United States,Gold
ALIAS_INDUCED_MERGEABLE,EV500037,1428|43|113|223|United States|Gold,2,113;2033,113,2,1,,3126;530782,1428,43,223,United States,Gold
ALIAS_INDUCED_MERGEABLE,EV500037,1429|41|113|38|Canada|,3,113;2033,113,2,1,,3127;531133;758659,1429,41,38,Canada,
ALIAS_INDUCED_MERGEABLE,EV500037,1430|41|113|38|Canada|,2,113;2033,113,2,1,,3128;532351,1430,41,38,Canada,
ALIAS_INDUCED_MERGEABLE,EV500037,1431|41|113|170|Puerto Rico|,3,113;2033,113,2,1,,3129;532669;759913,1431,41,170,Puerto Rico,
ALIAS_INDUCED_MERGEABLE,EV500037,1432|41|113|38|Canada|,3,113;2033,113,2,1,,3130;536087;762626,1432,41,38,Canada,
ALIAS_INDUCED_MERGEABLE,EV500037,1433|41|113|150|Netherlands|,3,113;2033,113,2,1,,3131;536547;762982,1433,41,150,Netherlands,
ALIAS_INDUCED_MERGEABLE,EV500037,1434|41|113|223|United States|Gold,3,113;2033,113,2,1,,3132;536932;763272,1434,41,223,United States,Gold
ALIAS_INDUCED_MERGEABLE,EV500037,1435|41|113|108|Japan|,3,113;2033,113,2,1,,3133;542368;767565,1435,41,108,Japan,
ALIAS_INDUCED_MERGEABLE,EV500037,1435|43|113|108|Japan|Silver,2,113;2033,113,2,1,,3134;542369,1435,43,108,Japan,Silver
ALIAS_INDUCED_MERGEABLE,EV500037,1435|45|113|108|Japan|Bronze,2,113;2033,113,2,1,,3135;542370,1435,45,108,Japan,Bronze
ALIAS_INDUCED_MERGEABLE,EV500037,1437|41|113|38|Canada|,3,113;2033,113,2,1,,3139;546546;771002,1437,41,38,Canada,
ALIAS_INDUCED_MERGEABLE,EV500037,1437|43|113|38|Canada|,2,113;2033,113,2,1,,3140;546547,1437,43,38,Canada,
ALIAS_INDUCED_MERGEABLE,EV500037,1438|41|113|108|Japan|,3,113;2033,113,2,1,,3141;551413;774995,1438,41,108,Japan,
ALIAS_INDUCED_MERGEABLE,EV500037,1439|41|113|211|Chinese Taipei|,3,113;2033,113,2,1,,3142;551624;775170,1439,41,211,Chinese Taipei,
ALIAS_INDUCED_MERGEABLE,EV500037,1440|41|113|211|Chinese Taipei|,3,113;2033,113,2,1,,3143;551625;775171,1440,41,211,Chinese Taipei,
ALIAS_INDUCED_MERGEABLE,EV500037,1441|41|113|223|United States|Gold,2,113;2033,113,2,1,,3144;552541,1441,41,223,United States,Gold
ALIAS_INDUCED_MERGEABLE,EV500037,1442|41|113|38|Canada|,2,113;2033,113,2,1,,3145;554302,1442,41,38,Canada,
ALIAS_INDUCED_MERGEABLE,EV500037,1443|41|113|150|Netherlands|,2,113;2033,113,2,1,,3146;555593,1443,41,150,Netherlands,
ALIAS_INDUCED_MERGEABLE,EV500037,1447|41|113|211|Chinese Taipei|,3,113;2033,113,2,1,,3152;563819;785090,1447,41,211,Chinese Taipei,
ALIAS_INDUCED_MERGEABLE,EV500037,1447|45|113|211|Chinese Taipei|,2,113;2033,113,2,1,,3153;563820,1447,45,211,Chinese Taipei,
ALIAS_INDUCED_MERGEABLE,EV500037,1448|41|113|14|Australia|Bronze,3,113;2033,113,2,1,,3154;564033;785278,1448,41,14,Australia,Bronze
ALIAS_INDUCED_MERGEABLE,EV500037,1448|43|113|14|Australia|Bronze,2,113;2033,113,2,1,,3155;564034,1448,43,14,Australia,Bronze
ALIAS_INDUCED_MERGEABLE,EV500037,1448|45|113|14|Australia|Silver,2,113;2033,113,2,1,,3156;564035,1448,45,14,Australia,Silver
ALIAS_INDUCED_MERGEABLE,EV500037,1448|47|113|14|Australia|Bronze,2,113;2033,113,2,1,,3157;564036,1448,47,14,Australia,Bronze
ALIAS_INDUCED_MERGEABLE,EV500037,1449|41|113|108|Japan|,3,113;2033,113,2,1,,3158;564382;785539,1449,41,108,Japan,
ALIAS_INDUCED_MERGEABLE,EV500037,1450|41|113|108|Japan|,3,113;2033,113,2,1,,3159;564403;785557,1450,41,108,Japan,
ALIAS_INDUCED_MERGEABLE,EV500037,1452|41|113|14|Australia|Bronze,3,113;2033,113,2,1,,3163;567682;788237,1452,41,14,Australia,Bronze
ALIAS_INDUCED_MERGEABLE,EV500037,1452|43|113|14|Australia|Bronze,2,113;2033,113,2,1,,3164;567683,1452,43,14,Australia,Bronze
ALIAS_INDUCED_MERGEABLE,EV500037,1452|45|113|14|Australia|Silver,2,113;2033,113,2,1,,3165;567684,1452,45,14,Australia,Silver
ALIAS_INDUCED_MERGEABLE,EV500037,1453|41|113|223|United States|Gold,2,113;2033,113,2,1,,3166;788400,1453,41,223,United States,Gold
ALIAS_INDUCED_MERGEABLE,EV500037,1455|41|113|108|Japan|,3,113;2033,113,2,1,,3170;571278;791262,1455,41,108,Japan,
ALIAS_INDUCED_MERGEABLE,EV500037,1455|43|113|108|Japan|Silver,2,113;2033,113,2,1,,3171;571279,1455,43,108,Japan,Silver
ALIAS_INDUCED_MERGEABLE,EV500037,1455|45|113|108|Japan|Bronze,2,113;2033,113,2,1,,3172;571280,1455,45,108,Japan,Bronze
ALIAS_INDUCED_MERGEABLE,EV500037,1457|41|113|211|Chinese Taipei|,3,113;2033,113,2,1,,3175;571702;791624,1457,41,211,Chinese Taipei,
ALIAS_INDUCED_MERGEABLE,EV500037,1457|45|113|211|Chinese Taipei|,2,113;2033,113,2,1,,3176;571703,1457,45,211,Chinese Taipei,
ALIAS_INDUCED_MERGEABLE,EV500037,1458|41|113|211|Chinese Taipei|,3,113;2033,113,2,1,,3177;572385;792181,1458,41,211,Chinese Taipei,
ALIAS_INDUCED_MERGEABLE,EV500037,1458|45|113|211|Chinese Taipei|,2,113;2033,113,2,1,,3178;572386,1458,45,211,Chinese Taipei,
ALIAS_INDUCED_MERGEABLE,EV500026,2017|7|74|150|Netherlands|Gold,2,2389;74,74,2,1,,4031;358508,2017,7,150,Netherlands,Gold
ALIAS_INDUCED_MERGEABLE,EV500026,2018|7|74|150|Netherlands|Gold,2,2389;74,74,2,1,,4032;487209,2018,7,150,Netherlands,Gold
ALIAS_INDUCED_MERGEABLE,EV500026,2020|7|74|150|Netherlands|Gold,2,2389;74,74,2,1,,4036;545439,2020,7,150,Netherlands,Gold
ALIAS_INDUCED_MERGEABLE,EV500026,2021|7|74|150|Netherlands|Gold,2,2389;74,74,2,1,,4037;555141,2021,7,150,Netherlands,Gold
ALIAS_INDUCED_MERGEABLE,EV500026,2022|7|74|150|Netherlands|Gold,2,2389;74,74,2,1,,4038;555876,2022,7,150,Netherlands,Gold
ALIAS_INDUCED_MERGEABLE,EV500026,2023|7|74|150|Netherlands|Gold,2,2389;74,74,2,1,,4039;555921,2023,7,150,Netherlands,Gold
ALIAS_INDUCED_MERGEABLE,EV500026,2024|7|74|150|Netherlands|Gold,2,2389;74,74,2,1,,4040;556252,2024,7,150,Netherlands,Gold
ALIAS_INDUCED_MERGEABLE,EV500026,2027|7|74|150|Netherlands|Gold,2,2389;74,74,2,1,,4047;567789,2027,7,150,Netherlands,Gold
ALIAS_INDUCED_MERGEABLE,EV500037,2820|41|113|108|Japan|,3,113;2033,113,2,1,,6033;315449;584168,2820,41,108,Japan,
ALIAS_INDUCED_MERGEABLE,EV500037,2820|43|113|108|Japan|Silver,2,113;2033,113,2,1,,6034;315450,2820,43,108,Japan,Silver
ALIAS_INDUCED_MERGEABLE,EV500040,2822|20|150|14|Australia|,2,150;1900,150,2,1,,6036;340040,2822,20,14,Australia,
ALIAS_INDUCED_MERGEABLE,EV500040,2825|34|150|14|Australia|,3,150;1900,150,2,1,,6042;356627;618077,2825,34,14,Australia,
ALIAS_INDUCED_MERGEABLE,EV500040,2828|32|150|221|Soviet Union|Bronze,3,150;1900,150,2,1,,6046;362016;622574,2828,32,221,Soviet Union,Bronze
