clave_logica_pre,filas,extras_duplicados_preexistentes,id_atleta,id_edicion,id_evento_original,id_noc,equipo,medalla,ids_participacion,componentes_safe_relacionados
129659|54|1902|5|Algeria|,2,1,129659,54,1902,5,Algeria,,308698;578355,EV500064
127463|54|2039|63|Egypt|,2,1,127463,54,2039,63,Egypt,,308699;578356,
130830|54|1901|63|Egypt|,2,1,130830,54,1901,63,Egypt,,308701;578358,
90562|43|1920|63|Egypt|,2,1,90562,43,1920,63,Egypt,,308703;578360,
112553|47|1987|63|Egypt|,2,1,112553,47,1987,63,Egypt,,308708;578365,EV500096
130853|54|2036|63|Egypt|,2,1,130853,54,2036,63,Egypt,,308709;578366,EV500132
145560|32|1973|5|Algeria|,2,1,145560,32,1973,5,Algeria,,308710;578367,
145561|36|2018|5|Algeria|,2,1,145561,36,2018,5,Algeria,,308711;578368,
110885|47|2063|5|Algeria|,2,1,110885,47,2063,5,Algeria,,308713;578370,EV500131
120868|50|2064|98|Iran|,2,1,120868,50,2064,98,Iran,,308715;578372,
130004|54|1973|21|Belgium|,2,1,130004,54,1973,21,Belgium,,308717;578374,
113391|47|2066|14|Australia|,2,1,113391,47,2066,14,Australia,,308719;578376,
21454|10|1955|63|Egypt|,2,1,21454,10,1955,63,Egypt,,308725;578382,
94241|43|2064|14|Australia|,2,1,94241,43,2064,14,Australia,,308736;578393,
114558|47|2022|164|Palestine|,2,1,114558,47,2022,164,Palestine,,308739;578396,
45398|34|2068|38|Canada|,2,1,45398,34,2068,38,Canada,,308740;578397,
25646|30|1902|98|Iran|,2,1,25646,30,1902,98,Iran,,308744;578401,EV500064
120020|50|2008|45|Cameroon|,2,1,120020,50,2008,45,Cameroon,,308745;578402,
66183|41|2015|49|Comoros|,2,1,66183,41,2015,49,Comoros,,308746;578403,
94263|43|2071|38|Canada|,2,1,94263,43,2071,38,Canada,,308747;578404,
106318|45|2009|63|Egypt|,2,1,106318,45,2009,63,Egypt,,308749;578406,
65826|41|2047|41|Chad|,2,1,65826,41,2047,41,Chad,,308754;578411,
127295|54|2063|45|Cameroon|,2,1,127295,54,2063,45,Cameroon,,308755;578412,EV500131
1805|18|2073|63|Egypt|,2,1,1805,18,2073,63,Egypt,,308757;578414,
131999|54|2008|109|Kazakhstan|,2,1,131999,54,2008,109,Kazakhstan,,308758;578415,
60004|28|1994|221|Soviet Union|Gold,2,1,60004,28,1994,221,Soviet Union,Gold,308816;578473,
49354|26|2006|163|Philippines|,2,1,49354,26,2006,163,Philippines,,308817;578474,
55676|38|2061|100|Iraq|,2,1,55676,38,2061,100,Iraq,,308828;578485,
76449|36|2085|216|United Arab Emirates|,2,1,76449,36,2085,216,United Arab Emirates,,308830;578487,
71072|22|1946|100|Iraq|,2,1,71072,22,1946,100,Iraq,,308837;578494,
26117|38|1902|116|Kuwait|,2,1,26117,38,1902,116,Kuwait,,308838;578495,EV500064
24594|7|1902|63|Egypt|,2,1,24594,7,1902,63,Egypt,,308839;578496,EV500064
2538|38|2089|184|Singapore|,2,1,2538,38,2089,184,Singapore,,308844;578501,
145568|54|1972|16|Azerbaijan|,2,1,145568,54,1972,16,Azerbaijan,,308849;578506,
56851|41|2092|16|Azerbaijan|,2,1,56851,41,2092,16,Azerbaijan,,308850;578507,
123072|50|2053|224|Uzbekistan|,2,1,123072,50,2053,224,Uzbekistan,,308854;578511,
56852|41|2093|16|Azerbaijan|Silver,2,1,56852,41,2093,16,Azerbaijan,Silver,308856;578513,
145569|50|2094|16|Azerbaijan|,2,1,145569,50,2094,16,Azerbaijan,,308859;578516,
145570|47|2065|16|Azerbaijan|,2,1,145570,47,2065,16,Azerbaijan,,308860;578517,
145571|45|1989|224|Uzbekistan|,2,1,145571,45,1989,224,Uzbekistan,,308876;578533,
116047|47|2098|111|Kyrgyzstan|,2,1,116047,47,2098,111,Kyrgyzstan,,308877;578534,
133139|54|2100|207|Tajikistan|,2,1,133139,54,2100,207,Tajikistan,,308880;578537,
132843|54|2008|177|Russia|,2,1,132843,54,2008,177,Russia,,308881;578538,
106920|45|2067|207|Tajikistan|,2,1,106920,45,2067,207,Tajikistan,,308882;578539,
13210|32|2101|119|Libya|,2,1,13210,32,2101,119,Libya,,308885;578542,
76749|38|2016|70|Unified Team|Gold,2,1,76749,38,2016,70,Unified Team,Gold,308886;578543,
13207|36|1974|221|Soviet Union|,2,1,13207,36,1974,221,Soviet Union,,308888;578545,
105149|45|2073|111|Kyrgyzstan|,2,1,105149,45,2073,111,Kyrgyzstan,,308890;578547,
71880|14|2016|108|Japan|,2,1,71880,14,2016,108,Japan,,308891;578548,
58563|22|2103|108|Japan|,2,1,58563,22,2103,108,Japan,,308896;578549,
22590|38|1955|108|Japan|,2,1,22590,38,1955,108,Japan,,308897;578550,
58564|28|1994|108|Japan|,2,1,58564,28,1994,108,Japan,,308898;578551,
71881|26|1966|108|Japan|,2,1,71881,26,1966,108,Japan,,308904;578552,
38240|14|2013|108|Japan|,2,1,38240,14,2013,108,Japan,,308906;578554,
5547|28|1900|108|Japan|,2,1,5547,28,1900,108,Japan,,308907;578555,EV500040
88999|43|2106|108|Japan|,2,1,88999,43,2106,108,Japan,,308909;578557,
38241|34|2107|108|Japan|,2,1,38241,34,2107,108,Japan,,308912;578560,
19216|22|2019|108|Japan|,2,1,19216,22,2019,108,Japan,,308915;578563,EV500015
12983|34|2031|108|Japan|,2,1,12983,34,2031,108,Japan,,308916;578564,
89713|43|1974|108|Japan|,2,1,89713,43,1974,108,Japan,,308917;578565,
102037|45|1902|108|Japan|,2,1,102037,45,1902,108,Japan,,308918;578566,EV500064
66868|38|1973|69|Ethiopia|,2,1,66868,38,1973,69,Ethiopia,,308920;578567,
13211|38|1974|69|Ethiopia|,2,1,13211,38,1974,69,Ethiopia,,308922;578569,
7383|36|1981|5|Algeria|,2,1,7383,36,1981,5,Algeria,,308924;578571,
51696|28|2036|31|Brazil|,2,1,51696,28,2036,31,Brazil,,308931;578578,EV500132
