componente_evento,deporte,disciplina,eventos,nombres,fuentes,ediciones,participaciones_afectadas,deduplicaciones,razon_semantica
EV500107,rowing,rowing,637;1945;3011,"Lightweight Double Sculls, Men (Olympic) | Rowing Men's Lightweight Double Sculls | Lightweight Men's Double Sculls",fuente1 | fuente2 | fuente3 | fuente4,41 | 43 | 45 | 47 | 50 | 54 | 58 | 61,786,101,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500108,rowing,rowing,641;2184;3078,"Quadruple Sculls, Women (Olympic) | Rowing Women's Quadruple Sculls | Women's Quadruple Sculls",fuente1 | fuente2 | fuente3,36 | 38 | 41 | 43 | 45 | 47 | 50 | 54 | 58 | 61,908,111,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500111,shooting,shooting,678;2079,"Small-Bore Rifle, Three Positions, 50 metres, Men (Olympic) | Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",fuente1 | fuente2 | fuente3,18 | 20 | 22 | 24 | 34 | 36 | 38 | 41 | 43 | 45 | 47 | 50 | 54 | 58,1892,146,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500131,volleyball,volleyball,908;2063,"Volleyball, Women (Olympic) | Volleyball Women's Volleyball",fuente1 | fuente2 | fuente3,24 | 26 | 28 | 30 | 32 | 34 | 36 | 38 | 41 | 43 | 45 | 47 | 50 | 54 | 58,4791,1489,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500132,volleyball,volleyball,909;2036,"Volleyball, Men (Olympic) | Volleyball Men's Volleyball",fuente1 | fuente2 | fuente3,24 | 26 | 28 | 30 | 32 | 34 | 36 | 38 | 41 | 43 | 45 | 47 | 50 | 54 | 58,5721,2073,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500133,athletics,athletics,927;2082;2912,"Long Jump, Women (Olympic) | Athletics Women's Long Jump | Women's Long Jump",fuente1 | fuente2 | fuente3,16 | 18 | 20 | 22 | 24 | 26 | 28 | 30 | 32 | 34 | 36 | 38 | 41 | 43 | 45 | 47 | 50 | 54 | 58 | 61,1831,133,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500135,sailing,sailing,1012;2362;3029,"Multihull, Mixed (Olympic) | Sailing Mixed Multihull | Mixed Multihull",fuente1 | fuente2 | fuente3,30 | 32 | 34 | 36 | 38 | 41 | 43 | 45 | 47 | 54 | 58 | 61,832,161,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500136,athletics,athletics,1017;1969;2888,"Javelin Throw, Women (Olympic) | Athletics Women's Javelin Throw | Women's Javelin Throw",fuente1 | fuente2 | fuente3,12 | 14 | 16 | 18 | 20 | 22 | 24 | 26 | 28 | 30 | 32 | 34 | 36 | 38 | 41 | 43 | 45 | 47 | 50 | 54 | 58 | 61,1597,152,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500137,athletics,athletics,1018;2280;2787,"Heptathlon, Women (Olympic) | Athletics Women's Heptathlon | Women's Heptathlon",fuente1 | fuente2 | fuente3,34 | 36 | 38 | 41 | 43 | 45 | 47 | 50 | 54 | 58 | 61,953,104,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500138,athletics,athletics,1024;2199;2986,"High Jump, Women (Olympic) | Athletics Women's High Jump | Women's High Jump",fuente1 | fuente2 | fuente3,10 | 12 | 14 | 16 | 18 | 20 | 22 | 24 | 26 | 28 | 30 | 32 | 34 | 36 | 38 | 41 | 43 | 45 | 47 | 50 | 54 | 58 | 61,1816,164,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500139,athletics,athletics,1026;2129;2847,"Discus Throw, Women (Olympic) | Athletics Women's Discus Throw | Women's Discus Throw",fuente1 | fuente2 | fuente3,10 | 12 | 14 | 16 | 18 | 20 | 22 | 24 | 26 | 28 | 30 | 32 | 34 | 36 | 38 | 41 | 43 | 45 | 47 | 50 | 54 | 58 | 61,1632,128,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500140,athletics,athletics,1029;2002;2866,"Marathon, Women (Olympic) | Athletics Women's Marathon | Women's Marathon",fuente1 | fuente2 | fuente3,34 | 36 | 38 | 41 | 43 | 45 | 47 | 50 | 54 | 58 | 61,2498,267,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500141,athletics,athletics,1030;1996;2762,"Shot Put, Women (Olympic) | Athletics Women's Shot Put | Women's Shot Put",fuente1 | fuente2 | fuente3,16 | 18 | 20 | 22 | 24 | 26 | 28 | 30 | 32 | 34 | 36 | 38 | 41 | 43 | 45 | 47 | 50 | 54 | 58 | 61,1297,124,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500157,ice hockey,ice hockey,1445;2202,"Ice Hockey, Women (Olympic) | Ice Hockey Women's Ice Hockey",fuente1 | fuente2,42 | 44 | 46 | 49 | 53 | 57 | 60,1891,501,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
